Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-32.1273112,-33.42652392,-17.25680094,-16.31239202,-22.47564547,-15.38430727,19.8435665,-5.095575431,-5.490761762,-15.51599889,-6.452664491,-25.5760631,-17.08901594,-24.58834967,-19.19635067,-27.44624904,-29.37850476,-8.180082056,-13.50776913
-30.41699323,-28.27883308,-9.313935068,-9.990904816,-17.91826954,-6.275395741,37.14742575,7.466276238,6.465598608,-2.34157409,7.201773211,-13.44771447,-4.085961798,-12.65803488,-10.36500628,-22.63156828,-23.94482692,-0.98196101,-6.560484347
-18.22356136,-13.42683996,-0.292766263,-4.425737492,-8.959973034,3.479317968,37.77820456,15.38613886,16.82104894,9.475700651,19.95789222,3.047896374,10.57203324,2.773006842,0.76427111,-10.56733267,-9.737260533,4.592885104,2.404458662
-3.564035289,2.051238336,4.874792018,-3.087641923,-1.439772651,8.603015258,23.22287333,15.58853253,20.38636688,14.67246763,25.67370421,15.51762832,19.84524152,13.45807971,7.904253257,1.158338104,4.306841453,5.307699763,7.841428662
4.907822402,9.629627965,4.274368659,-6.035015752,0.621948195,7.368315531,4.476176464,10.37203345,17.10406948,12.80633832,23.23685978,18.72298195,20.55328865,14.71665584,8.024921787,6.004201333,10.22769001,1.464301799,7.181530667
3.830529143,7.031259227,0.103657917,-10.03037007,-2.406152887,2.374350868,-6.169078287,5.332693713,11.64887632,8.212101271,16.64156637,13.69619983,15.06562009,8.214522783,3.182226802,2.7868596,6.318336782,-3.487921219,2.280699246
-3.152606461,-0.907103896,-3.253105813,-11.10740716,-6.601379693,-1.844628222,-3.78546153,4.977870597,9.47862846,6.463413291,11.41448377,6.285383994,8.98142723,0.129185805,-1.42304864,-4.12665857,-2.410996678,-5.629598822,-2.447692677
-8.889494625,-6.536687242,-2.589453994,-7.568808533,-7.846245403,-2.34963689,6.525937933,9.451284302,12.55232181,10.10678675,10.41475434,2.499512516,6.779771153,-3.659645325,-1.516619683,-8.612229055,-8.591041927,-3.442493049,-3.558477866
-8.416669242,-5.286321158,1.910118594,-1.137324411,-4.961796447,0.290597359,14.56831555,14.80776822,18.08882679,16.93221215,12.27592094,4.327299136,8.837084964,-1.596726499,3.222772398,-7.433713887,-8.051425501,1.293083966,-0.965420829
-2.386427404,1.392396677,7.165423176,4.497432362,-0.246088843,2.999669068,13.29000095,16.42167264,21.17834771,21.98018835,13.38454284,9.054805225,11.90975146,3.186835092,9.368766328,-2.191676245,-2.327754456,5.12541897,2.491800498
4.158005668,7.951511598,9.789534791,6.458198081,2.74337947,3.026601711,3.79929335,12.69966404,18.93579134,21.54389881,11.37916855,12.17555869,12.32548089,6.033935653,12.74474066,2.610073189,3.428905671,5.660051326,3.661688578
6.246485013,9.560748583,8.608381225,4.580297774,2.152019778,0.188938634,-6.400411098,6.188050945,12.76497127,15.96034098,7.117380328,11.22401716,9.0805348,4.627676256,11.65821102,3.459624165,4.993930634,3.211647296,1.603270979
2.878745001,5.774453778,5.20002075,1.080759134,-0.884765553,-3.207534403,-9.948943666,1.377314302,7.022023046,9.103169652,3.626143156,7.439639116,4.389254454,0.496332564,7.854307405,0.435596609,2.228767855,0.203641664,-1.947140033
-2.64630825,0.314493791,2.269719835,-1.506523733,-3.492200373,-4.482220638,-5.363780557,1.143118005,5.39248753,5.195832672,3.23582839,4.234400819,1.528582478,-2.73090982,4.688583238,-3.383812438,-1.467270053,-0.994901436,-4.289732591
-5.848768516,-2.415814815,1.395419059,-2.322143143,-3.583740116,-2.81407105,2.47833656,4.705303345,8.079433532,5.62786512,5.559976953,4.117771124,2.047534746,-2.53415908,4.267054237,-4.839892341,-2.508706011,0.075540795,-4.023751195
-4.767356839,-0.922651404,2.013628964,-2.528528067,-1.481785991,0.246030975,6.972785017,8.584753101,12.03257503,8.266936655,8.050643277,6.795097404,4.738449355,0.582523434,5.95440118,-3.285534793,-0.188950348,1.877270357,-1.966536965
