Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
34.83284799,29.56541305,6.33871442,-9.011684071,6.822897043,-4.971691828,-76.85471067,-24.49913693,-24.78664882,-11.39048108,-16.27779801,6.561949343,-2.388591091,6.542035659,6.798054004,24.78252487,24.49644469,-0.554980447,-0.196447674
26.06834557,18.22616332,3.669728535,-10.5032032,-0.566180497,-13.06238969,-72.50757229,-29.34932713,-36.27783963,-19.14898393,-26.51287824,-2.864254408,-12.72131876,-5.890383858,-1.148990031,11.15210279,9.819928921,-5.208649073,-6.44148503
11.63134201,4.430875293,3.334144184,-5.249366254,-5.002978316,-14.96506079,-41.88747977,-23.47681551,-37.17369524,-19.54225102,-25.05321381,-5.663226303,-17.6344804,-13.84205981,-3.679602279,-1.757885963,-6.417272108,-4.067847549,-7.630294008
-0.387977771,-4.590173304,5.177880881,3.519402804,-4.3232143,-9.666843949,-3.789997298,-11.23009973,-29.36713691,-13.23658417,-14.2485106,-0.964630594,-14.26727603,-12.98336022,0.152004027,-7.820340463,-15.9299482,0.91631332,-3.913972378
-4.933561386,-5.914046493,7.082477778,10.43522609,-0.248341206,-0.97001015,20.38579202,-0.305109383,-19.43404408,-4.77597554,-1.916027335,6.672649501,-5.264554563,-4.904754985,6.711196173,-5.901505709,-15.64717842,5.291187611,1.058788664
-2.955810592,-2.286223148,6.665578672,11.72387565,3.14474254,5.393177424,20.82786151,3.600163111,-13.96587731,0.739481222,4.065837863,10.69580457,3.140392769,4.338119572,10.56313002,-0.099300812,-9.012204828,5.44098919,2.98382089
0.272890938,0.762189282,3.19861757,7.610124216,2.641807077,5.90206581,4.308386854,0.335639916,-15.31006919,1.093704156,0.874743367,7.436601824,5.534449763,8.733772137,8.521758469,3.719161836,-2.585415666,1.123072387,0.117802036
-0.209267559,-0.515129037,-1.795503917,1.691210403,-1.759580628,1.498247888,-12.87362939,-5.392882669,-20.65147392,-1.985161211,-8.000116284,-1.26857497,0.961641743,6.436512674,1.871483108,2.321371809,-0.850511592,-4.62741563,-5.58883056
-5.288729071,-5.468968528,-5.72553592,-2.065468622,-7.138103536,-3.608796083,-17.73276414,-8.112281524,-24.76983137,-4.735693189,-15.91351898,-9.617396039,-6.776050076,0.539291333,-4.845109213,-2.845981928,-3.256146863,-7.965934379,-10.18214785
-11.66361551,-10.20314252,-6.914568936,-2.271773759,-10.17848364,-5.416164153,-9.203981142,-5.751179197,-24.14289893,-4.566230073,-17.96305952,-12.23511634,-12.14649387,-3.775373937,-7.386051648,-7.278659393,-5.48541271,-7.044695839,-10.74143384
-15.03417722,-11.15635187,-5.778415979,-0.77504353,-9.794475891,-3.061928121,3.310880179,-0.783387805,-19.31452557,-2.008216306,-13.98688525,-8.037593867,-11.82882839,-3.265238346,-4.888279558,-7.152423848,-3.516355734,-3.029938708,-7.352394778
-13.67511144,-7.983354451,-4.289762002,-0.706255585,-7.750170259,0.951035317,9.005057251,2.19847338,-14.02140049,-0.023109294,-7.822728202,-0.767130203,-6.707159555,1.258291569,-0.179953808,-2.16186021,2.998909744,1.233521209,-2.624642041
-9.477590156,-3.473730623,-4.234025161,-3.670590193,-6.921961751,3.120094284,4.329181546,0.258517999,-12.09897335,-1.415402202,-3.944581656,3.94048176,-0.74779811,6.076711525,2.6780427,4.592707237,10.64571349,3.60459459,0.606499118
-5.914379324,-0.883814634,-5.723531129,-8.3913058,-8.77466249,1.7741324,-5.451419536,-5.781224087,-14.69097548,-6.516791925,-4.331348169,2.543188551,2.042027314,7.704333586,1.503903087,9.270008997,15.20242248,4.098793639,1.401445015
-4.964271636,-1.158255063,-7.167994914,-11.80530886,-12.16790245,-1.892611179,-12.03003485,-12.31940698,-19.75036201,-12.9244291,-7.770703901,-4.305337842,0.176284056,5.390581376,-2.662302444,10.19086195,14.98390124,4.399452355,1.025505369
-5.681288367,-2.38658607,-6.661297881,-11.57604501,-14.39272085,-5.173708881,-11.44475398,-15.89530434,-23.87520381,-17.33040887,-11.58371895,-12.7667571,-4.901719415,1.17708784,-6.794763254,8.734258325,11.85189469,6.091459466,1.443376976
-5.436780503,-1.758850465,-3.587788423,-7.91087342,-13.45559558,-6.20305661,-6.734491219,-15.54599927,-24.80523495,-17.85442676,-13.92330126,-18.75894199,-10.40054402,-2.162073638,-8.419042592,7.785615115,9.307275395,9.239553355,3.466583196
-2.489093954,1.853093693,0.876383936,-3.260988818,-9.662701036,-5.274010653,-4.210934344,-12.87646881,-22.68117605,-15.06369085,-14.74196986,-20.44644159,-14.19277417,-3.356538258,-7.316268995,9.243060563,9.493892071,12.45142763,6.139310522
2.480622508,6.94724559,4.726483939,-0.27898063,-5.25249017,-4.182267668,-7.287152187,-10.18262724,-19.39933987,-11.08865502,-15.00912554,-18.66344413,-15.74604418,-3.253386628,-5.200411838,12.62963444,11.64493905,14.18231123,7.740413835
