Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-14.64846832,-12.20014386,2.987168351,6.393570217,-5.10711527,4.006399686,21.18180822,14.31145671,18.37955543,13.86936582,13.21097252,10.35502806,2.756852885,-0.352659146,0.580911672,-8.947615592,-9.764184728,2.726470468,-3.852389695
-7.243608645,-1.675160838,9.76462921,14.08260828,-0.729700614,4.970828104,23.27911248,21.84458314,32.45656487,26.99797731,19.66279482,19.86259644,7.735553363,1.739497237,6.748924145,0.428431785,-4.560476958,5.943940874,-1.730852794
0.533066888,8.096514513,13.32352673,17.84191617,2.186618355,4.146521898,19.32391792,23.69640301,38.49998836,34.05704067,22.44445684,27.20790949,12.15554826,3.678718424,9.582117848,9.307257263,1.693438765,7.146375353,-0.008449407
4.735117361,12.92520651,13.13987814,17.49978377,2.401596609,2.517938112,13.23312871,21.15034312,36.47941355,33.99571568,22.75450959,31.36076273,15.55052879,5.291102176,9.355488815,14.66454213,6.016492061,6.81304851,0.31130345
4.201860648,12.03250048,10.82901601,15.07258498,0.58973553,1.538547824,9.412762718,17.6210214,30.80711781,29.74944866,22.84359424,31.81665955,18.10675133,6.770641641,8.153053574,15.80543929,7.26344178,6.204271874,-0.590530915
1.038502458,8.126349295,8.788324336,13.05377063,-1.315823258,1.980277892,9.666831534,15.96379647,26.86056648,25.68998288,23.93227454,28.30327669,20.106122,8.179653878,7.913497027,14.23037622,6.530863909,6.361878934,-1.55245748
-1.239126486,5.147826345,8.508808942,12.63432686,-1.674578147,3.338664204,12.22916523,16.5039583,27.18421366,24.41305258,25.12696255,21.29342933,21.28053012,9.050820017,8.847447521,12.2359173,5.934568422,7.486746962,-1.363659607
-0.374895333,5.465233438,9.754232827,13.1428506,-0.372632975,4.250513419,13.47925084,17.17217313,30.10239458,25.21733144,24.21164796,12.72254098,20.68580514,8.534428085,9.458978662,11.3704827,6.863305243,9.071603425,0.32366302
3.164903358,8.533643165,11.05872124,12.95177584,1.197666761,3.582040495,10.88673801,15.47089744,31.54248471,25.20168587,19.66217207,5.707155655,17.35046998,6.062499039,8.00504926,11.74650934,9.066572762,10.49994804,2.789507142
6.895841391,11.77669873,10.99606884,10.96541599,1.344088621,1.328470773,4.920799584,10.6411396,28.46100949,21.89582139,12.22635027,2.792913282,11.31029503,2.008270249,4.057322403,12.42919224,11.12163657,11.49362205,4.849863468
8.434066461,12.75589274,9.199623482,7.476259325,-0.526267768,-1.365271117,-1.400426878,4.363595506,21.21782438,15.30693134,4.753786246,3.817112412,4.192198655,-2.261976711,-1.139398568,12.36033546,11.69802478,12.05581356,5.745279135
7.283353064,10.88639904,6.457953438,3.831979161,-3.420484647,-3.050177378,-4.788450078,-0.443047542,13.24567843,7.917375591,0.363493821,5.375090911,-1.317067273,-5.112819134,-5.689541033,11.07497498,10.51871748,12.11548611,5.619852353
4.979223687,7.548777786,4.008222254,1.371299758,-5.528215864,-3.006276932,-3.95706005,-1.69354136,8.505248186,2.858879791,0.363084521,3.007967748,-3.001496059,-5.682323526,-8.441139615,8.836499632,8.338176581,11.37851431,5.275629348
3.677236479,4.809905422,2.71653129,0.598382493,-5.587148382,-1.675808957,-0.240231274,0.529693742,8.797569622,1.823855834,3.516051399,-5.01270351,-0.667006697,-4.475244849,-9.533477608,6.327223001,6.153020974,9.642577826,5.469669101
4.452679379,3.952380845,2.761316211,1.205494338,-3.75610581,-0.214775892,3.701822845,4.298455426,12.89393124,4.267500032,7.170432345,-15.21848548,3.504585778,-3.016678036,-9.76309725,4.258713747,4.437846736,7.287831103,6.332769453
6.641726996,4.912018238,3.885912862,2.723673902,-1.357785305,0.429079401,5.918069161,7.417322469,17.88917025,8.265658312,9.308863154,-20.28084964,6.305205246,-2.758639507,-9.544260652,3.132244846,3.028029582,5.367391129,7.320684182
8.575769896,6.791509671,5.79821665,5.052169253,0.220734426,0.17921865,6.383387079,8.969685183,21.50376927,12.09308554,9.919262358,-13.91366842,5.799501528,-4.007004505,-8.54457776,3.137813609,1.605553278,5.018673723,7.654295682
8.937447157,8.744397784,8.283228191,8.335852303,0.547129631,-0.23372829,6.647488265,9.711502915,23.52523021,15.20808385,10.70202345,3.944647917,2.940162401,-5.657270005,-6.324091188,4.103228676,0.222235071,6.567585011,6.857419577
7.608222132,10.41504598,10.99911054,12.37125392,0.30283555,0.067325363,8.412477765,11.17834307,25.4545915,18.0423785,13.47156264,25.76341914,1.149014322,-5.960986739,-3.245952795,5.513564096,-0.649494558,9.097067917,5.009065149
5.465651747,11.73006837,13.31148588,16.23167508,0.550577585,1.414737433,12.22499526,14.33309684,28.87959556,21.06487661,18.58214384,40.51590554,3.912528849,-3.799985802,-0.59899436,6.707821371,-0.539906655,10.9719053,2.616507627
3.512724293,12.49929484,14.4969452,18.6211042,1.7860572,3.392828244,17.17780694,18.79928028,33.9690964,24.08444668,24.57713698,40.79556368,11.99508326,0.4307484,0.375227865,7.2510306,0.567814709,11.0257416,0.30133139
2.175830074,12.3791049,14.24139592,18.75875507,3.551294947,5.201695017,21.62845869,23.13839267,39.20289707,26.35321733,29.2171278,27.91944605,22.36286192,4.962427211,-0.282055323,7.253336668,2.194846592,9.488915066,-1.449887566
1.288670608,11.26019916,12.98003538,17.02551539,4.856630658,6.228054292,24.22856708,25.8021373,42.39112602,27.21167624,30.97991649,11.1230351,29.81939473,7.727579996,-1.00194739,7.326162338,3.749703075,7.853006517,-2.369305575
0.581136559,9.612772603,11.67297011,14.72707326,4.984340314,6.367611542,24.51159692,25.98362759,42.0985363,26.56493916,29.87424059,1.19172948,30.37499787,7.635508751,0.09848154,8.095515569,4.958593499,7.698109758,-2.393090552
0.082318007,8.307360149,11.08725668,13.07655418,3.990297462,5.917512894,22.79608676,23.83609867,38.44030311,24.75850613,27.07813141,3.059394642,23.98122391,5.189978839,3.429503303,9.589722227,5.955549986,9.384707445,-1.642202327
0.048797229,7.951994849,11.14474089,12.21934414,2.546247951,5.225735662,19.7099921,20.10770975,32.82746204,22.08553795,23.8714102,12.75413286,14.59554522,2.066045542,7.142364601,11.01998239,6.998677799,11.68034954,-0.39849426
0.572711605,8.325288476,10.92648264,11.15242817,1.343123741,4.434129208,15.80254826,15.63670547,27.02715807,18.52640461,20.79001565,20.82720667,7.454812934,-0.018038632,8.222367775,11.23092614,8.131893932,12.66723169,0.990799059
1.351030831,8.485508112,9.41519472,8.659137841,0.600610971,3.496680286,11.46576031,11.0929391,22.26649001,14.03995708,17.59197563,19.52377329,5.52023622,-0.345808577,4.764826454,9.554348509,9.125884826,11.23216268,2.287033211
1.905353761,7.551162395,6.414826031,4.496608149,0.060357017,2.376659513,7.052069897,6.99851533,18.88806522,9.0913743,13.87348681,8.230956998,7.693562231,0.509264911,-2.375014204,6.403983079,9.717463327,7.942818481,3.494823207
