Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
38.89140009,46.47932966,32.01672143,22.04945212,29.14328157,23.82775567,-6.112926268,8.232103182,-17.80690338,16.2343467,-12.20471324,22.00029643,18.26742346,33.40508867,30.43099917,41.81558407,43.41575364,28.52316909,30.11656222
34.58852618,39.77305789,23.75487426,10.53913695,14.53922403,9.180004349,-42.8523443,-14.28645622,-61.83392915,-2.78280799,-53.77595022,-1.528015932,-2.929096842,19.30102899,20.58846634,35.22956903,35.85961079,20.19278464,17.86586572
18.22555715,20.99272084,10.7331196,-2.078437569,-4.755757147,-8.186283222,-60.57672371,-34.31860888,-98.31052687,-22.82444521,-89.39163968,-27.96820749,-27.7463237,-1.11409378,5.641007268,19.37848112,17.68731712,10.75723274,3.846513727
0.002004259,1.830840628,0.767744191,-9.097161317,-18.72158821,-19.04185502,-53.689784,-43.20643422,-112.5661438,-33.7806491,-105.369402,-45.26458869,-44.42458985,-16.58794285,-5.707986488,4.048563274,0.195979945,5.965764307,-3.825900084
-9.599135469,-7.106453264,-1.227243304,-7.906483578,-21.62230569,-19.39086995,-33.10560318,-39.88589328,-103.4576204,-31.83835849,-99.71180978,-47.61114846,-47.18867854,-20.33559665,-8.042970456,-2.672633489,-7.351765492,7.351029383,-1.971698745
-6.861377058,-3.264324351,3.80238993,-1.220011152,-15.19461796,-12.39074379,-16.67840389,-30.38680657,-82.46752309,-21.08721792,-81.97293448,-38.44667531,-39.22372328,-13.97238725,-2.621535817,0.289588458,-3.700697817,11.7120192,5.97461275
3.368046244,7.099009809,10.45060198,5.420975094,-6.389252871,-5.094048102,-15.55727338,-22.50811782,-64.47660164,-9.640226612,-65.599765,-26.98944879,-29.2611418,-5.200005933,4.24185288,7.103268741,4.646640083,14.09872418,13.05921578
12.09222643,14.43588625,13.22303343,7.767197239,-1.787695136,-2.883988402,-27.02117951,-20.09539646,-57.52654072,-3.612516209,-58.72692982,-21.28526606,-24.78270548,-1.481850399,6.246288946,10.09145305,9.185805334,11.72099464,14.07954919
13.04048998,13.11224216,10.39692604,5.482735357,-3.111975801,-5.94359412,-38.5957285,-21.21780408,-59.01203007,-3.532130173,-60.04135754,-23.07916723,-27.11295519,-4.767206153,1.573492655,5.577213306,5.871215973,5.725850941,8.992372354
6.702116317,4.820794467,4.597704836,1.563985905,-7.004799255,-10.13876129,-39.14843732,-21.09392818,-60.21521053,-5.427215308,-62.00261366,-27.99631539,-31.77217554,-11.06911264,-6.514206996,-3.926729713,-2.615974795,-0.26179858,2.148178372
-1.161498669,-3.881986602,0.090051877,-0.563708631,-8.6839789,-11.0734105,-27.60921913,-16.81395415,-54.58776275,-5.035855547,-58.02548891,-30.18778782,-33.13751588,-14.61182826,-12.94935536,-12.44049553,-9.992143311,-3.295234246,-1.597414458
-4.73286807,-7.317088281,-0.719620995,0.255447374,-6.137366733,-7.754368821,-12.70209254,-9.806561484,-42.85259505,-1.402437132,-47.65636003,-27.2958973,-29.25315594,-12.75769551,-15.01195796,-15.50927998,-11.79233002,-3.254112898,-0.580142936
-2.615440947,-4.884703029,1.22326748,2.449111299,-1.481795296,-3.006098326,-4.845599135,-4.269018173,-31.32914816,2.887650486,-36.03607059,-21.8231736,-22.9744966,-7.72667523,-13.99601867,-13.33776037,-8.553463303,-2.404661488,2.965844555
1.810652113,-0.678403398,2.997951693,3.503144116,1.255571154,-0.68196252,-7.550307467,-3.296154024,-25.73692729,4.529794914,-28.85045681,-18.27881442,-18.96422626,-4.115711859,-13.37513809,-9.850280668,-4.536454019,-3.080802598,5.334025283
3.887253587,0.556453015,2.43396,2.211670787,-0.287522086,-2.304665287,-15.34709874,-6.215627607,-26.16919072,2.618054403,-27.41791752,-18.94501762,-19.46382462,-4.727149501,-15.3945337,-8.9459984,-3.617524215,-5.65859567,4.560645348
1.712227729,-2.606936852,-0.214976834,-0.516756408,-4.965121219,-5.971362783,-19.28503627,-9.328544164,-27.37337475,-0.624777794,-27.94404085,-21.94577302,-22.48717043,-8.340586689,-19.10877544,-11.32682077,-6.094490451,-8.497857178,1.74054341
-2.653400971,-7.585103999,-2.871755601,-2.751081575,-9.358568454,-8.223416325,-14.7247717,-9.192239446,-23.64276213,-1.897431586,-25.16011878,-23.05283138,-23.75735209,-11.0987969,-21.38839048,-14.42112305,-8.95984836,-9.666972551,-0.376295154
-5.455350201,-10.50865007,-3.690814396,-3.328454473,-10.75625051,-7.061936508,-4.753587075,-5.472726322,-13.79724835,0.346895751,-16.93471991,-19.42523722,-20.48708674,-10.01247522,-19.78941432,-15.08685853,-8.995972927,-8.749430947,0.009134535
-4.675463667,-9.662341792,-2.627776002,-2.703069987,-9.225577214,-3.498116324,3.18815115,-0.960316152,-2.017408862,4.762822376,-5.945975367,-11.99952052,-13.71136115,-5.449876902,-14.69877786,-12.48959419,-5.716155275,-7.122961527,2.282063328
-1.574346114,-6.660284409,-1.231518146,-2.232626676,-7.145832823,-0.470712465,3.981785084,1.074645027,5.876665057,8.487469157,2.73807237,-4.613825017,-7.325034183,-0.603046237,-8.98020799,-8.673943279,-1.604151222,-6.589710237,4.216217318
0.782128105,-4.626637531,-1.04839366,-2.736063679,-6.865021196,-0.252800538,-1.129780431,-0.256811917,7.242891034,9.637868243,5.856848435,-0.80570081,-4.841117859,1.363330915,-5.585947416,-6.559547714,0.312187494,-7.712470175,4.108562212
0.438241201,-5.286182323,-2.201767807,-3.729802216,-8.664836187,-2.626469833,-6.295140197,-2.853786363,4.430243552,8.712802592,4.362469428,-1.07926698,-6.683016053,-0.112575175,-5.271981571,-7.334495582,-0.816057994,-9.382020721,2.250950351
-1.782663302,-7.610599484,-3.407225659,-4.007200641,-10.74263547,-5.259846467,-6.540631474,-3.642498566,2.355915999,7.821310692,2.257244259,-2.827932684,-10.15303266,-2.819870264,-6.296580538,-9.572032419,-3.086825482,-9.941771496,0.498042466
-3.237912807,-9.056394866,-3.297347629,-2.930652355,-11.02464519,-5.758566528,-1.921714446,-1.303360968,4.279388753,8.625702,3.170413875,-2.731741929,-11.84441687,-3.919153682,-6.168905128,-10.71076866,-3.792242793,-8.776051433,0.464640348
-2.021749558,-8.066317877,-1.764161789,-1.165751487,-9.056443713,-3.530464477,3.124438289,2.699137637,9.484083496,10.91400813,7.679194935,0.556816276,-10.30487044,-2.367392193,-3.805553124,-9.429437648,-1.979954145,-6.903282058,2.058523232
1.259092377,-5.502543947,-0.093551976,-0.151784158,-6.302597866,0.039230078,4.218307024,5.567070026,14.58064878,12.9910692,13.42175551,5.630031294,-6.802260187,0.441908202,-0.280613209,-6.775021725,0.712427721,-6.074401449,3.643679303
4.040827484,-3.802221579,0.180250426,-0.804771344,-4.721284854,3.02028078,1.023103133,5.677218708,16.87184057,13.37115476,17.50774968,9.827137472,-3.852543396,2.154953173,2.277371885,-5.146328637,1.624548796,-7.238260209,3.598041263
4.098366894,-4.749144432,-1.376780314,-2.664804314,-5.011286121,4.552869767,-2.740977742,3.889916795,16.608797,12.14120926,18.90272902,11.47711281,-3.046608028,1.537098609,2.489707951,-6.171010318,-0.467762803,-9.764615347,1.795998781
1.48575386,-7.921639798,-3.750444505,-4.284867964,-6.113734564,5.247350603,-2.987208118,2.591429251,16.28198125,10.78350335,18.81067394,10.93239539,-4.068528348,-0.703903705,0.638913687,-9.400418741,-4.246462176,-12.07774981,-0.317732722
-1.563511305,-11.1466704,-5.388887918,-4.51570545,-6.321309322,6.205793581,0.908046457,3.461014155,17.92578699,10.72173021,19.06570808,9.740653534,-5.502190087,-2.893529017,-1.933660338,-12.88144344,-7.042854244,-13.06589281,-1.081077444
-2.600673756,-12.43646343,-5.511834196,-3.524233295,-4.887994735,7.750413669,5.625481031,6.022851415,21.13156586,11.99958186,20.27731251,8.998465954,-6.3823643,-4.043500197,-4.170736049,-14.9340226,-7.184622598,-12.96990793,-0.138138512
-1.008320315,-11.61596477,-4.664481962,-2.628584503,-2.656412255,9.096183192,7.069187442,8.229383527,23.60069778,13.30578832,21.46768324,8.502604749,-6.93722854,-4.569147767,-6.064616348,-15.45864777,-5.371750099,-12.98501605,1.232749186
1.62233196,-10.24608108,-4.098835391,-3.104164451,-1.197212138,9.215690986,4.17447752,8.439949223,23.57816141,13.2701479,21.37566811,7.370539122,-7.928329317,-5.491392741,-8.231172989,-15.66233004,-3.90126139,-14.00589391,1.251790297
2.992180582,-10.04705902,-4.616397108,-5.035725576,-1.331878816,7.993393016,-0.109284393,6.931975119,21.75589184,11.78870468,20.02362376,5.338348437,-9.412293627,-7.044492022,-10.87301595,-16.61298952,-4.517608525,-15.70518844,-0.795129675
2.059733681,-11.33287956,-5.923786377,-7.236651753,-2.425588331,6.516639689,-1.470110757,5.57992462,20.79951245,10.14546901,18.98155484,3.348449145,-10.27827939,-8.153510031,-13.25450952,-18.07641896,-6.853767774,-16.78917521,-3.925082493
-0.231176635,-12.84255106,-7.012566739,-8.292127022,-3.06727186,6.188964288,1.942794655,6.048263725,22.9255564,9.832861839,20.06562169,2.808546305,-9.110928841,-7.358857317,-14.23804014,-18.73323927,-8.823772954,-16.17225721,-6.272139231
-1.962310308,-13.0048538,-7.124250741,-7.783364411,-2.454652685,7.465942336,7.935805624,8.191578865,27.79169561,11.16959237,23.69532859,4.243975972,-5.601485667,-4.326361694,-13.34589871,-17.51295746,-8.538987803,-13.97449086,-6.597459045
-1.952482735,-11.3851269,-6.377651694,-6.604973713,-1.17444752,9.37530861,12.23215051,10.13737974,32.67921481,12.98819253,28.43407356,6.68709354,-1.144932045,-0.462548623,-11.27279252,-14.71774998,-5.982989215,-11.42447602,-5.197611188
-0.623637979,-8.98698403,-5.519137688,-6.108475159,-0.659173756,10.27963516,12.11913588,9.980275054,34.84345925,13.6832009,32.13147262,8.470907797,2.038852479,2.057162016,-9.28933947,-11.8217812,-2.963236388,-9.758287067,-3.505423047
0.635977597,-7.211259437,-5.10142375,-6.845416547,-1.835498423,9.230652293,8.550266848,7.55781441,33.93274574,12.68282808,33.6391915,8.765632542,2.589132979,2.071999595,-8.04828315,-10.09885852,-1.446622829,-9.115185532,-2.827527482
0.877763022,-6.516006917,-4.905697488,-8.021933314,-4.214770965,6.75062063,5.006877294,4.711178106,32.31775736,11.03458856,33.60579017,8.461178952,1.076564816,0.464074665,-6.913123191,-9.358759856,-1.818838151,-8.425467069,-3.344616692
0.415881835,-6.040788958,-4.150028055,-8.134999144,-6.258803706,4.395071029,4.353482916,3.789728723,33.04951491,10.58808306,33.74022577,9.543070891,-0.445655333,-0.515629527,-4.490779845,-8.011313751,-2.618168317,-6.388673358,-4.166512708
