Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-3.593180914,-11.05845799,-23.66555881,-31.97741104,-20.40011006,-25.82011067,-42.4923824,-32.97946742,-32.78901489,-33.72198991,-30.72082045,-24.02506486,-27.08274328,-22.50416876,-26.2288484,-19.2986126,-13.20987763,-27.47277758,-20.01154695
-18.25238962,-25.25632546,-29.39096222,-34.08695759,-29.29030563,-28.09259232,-34.38445076,-31.22237918,-28.27504649,-35.80324241,-23.81729998,-23.30632882,-28.14907557,-27.84920723,-26.47514343,-30.13055892,-23.61316604,-28.45144848,-28.73021203
-25.10037967,-28.90046771,-22.88689459,-22.42538632,-25.7597022,-18.46763324,-11.55262107,-15.47240181,-9.761129642,-22.67381348,-2.558978045,-10.81041782,-17.23697569,-20.53102943,-16.76825801,-31.13041199,-23.04453826,-19.23462695,-25.65430446
-20.13125091,-19.85321249,-8.306416215,-4.71862527,-12.11713109,-2.666391873,12.02169936,4.623430016,12.31877714,-2.675518933,21.05083722,7.549462237,-0.667629302,-4.907819178,-3.426396186,-21.94769556,-11.30335218,-4.968859817,-13.05459633
-7.466552121,-4.489440706,5.296270207,8.421167396,3.17657583,10.05368845,23.24470972,17.73507391,26.14557057,12.50721822,34.0366304,21.85017823,11.82346109,9.504230453,4.954591501,-8.998310675,4.436854058,6.442635991,0.96986934
3.942402872,7.161856048,10.39794911,10.82014729,11.48714247,13.3618562,18.68424239,18.56843412,26.55474095,15.9662981,31.23179452,25.10515488,13.92740095,14.75723821,3.806031241,-0.683653384,14.83819865,9.701853258,8.225111232
6.978057095,8.680712733,5.988841982,4.339072127,9.77336487,7.86331264,5.84040163,10.70418731,17.81347962,9.648100326,18.20930418,18.05200583,6.938649931,9.822454105,-4.29322146,-1.431483369,14.92779973,5.181369354,5.922006599
1.237951676,1.394501154,-2.475456442,-3.611252075,1.955083639,-0.161297997,-3.56221755,2.782126448,9.35333272,1.615443439,6.424995289,8.153660034,-1.81440437,0.635540892,-11.99777621,-9.002830457,7.061073013,-2.26664958,-2.042176548
-7.404768571,-7.485811404,-7.757086389,-6.263230802,-4.78959932,-3.978991076,-2.682411942,1.402283839,8.125790918,-0.906336623,4.525123317,3.678664532,-4.900951395,-4.924356647,-13.03554008,-16.82463387,-1.614528493,-7.365670198,-8.649947733
-11.81755479,-10.84881591,-6.280597397,-2.392654008,-5.617166373,-1.367305419,5.965853089,6.403245936,13.64983489,3.007328228,12.46227622,7.522355457,-0.385230258,-3.027239111,-6.832878881,-19.21023341,-4.834504037,-7.960502053,-9.139264344
-9.004750373,-6.886271317,-0.187013111,3.660208078,-1.149955753,4.38741309,13.65046062,11.93133303,19.37466808,8.157638846,22.57272267,15.50442126,7.165599515,3.75046082,1.576172883,-15.31182593,-1.479205928,-5.517800981,-4.036767033
-1.745516602,0.367474549,5.193532219,6.32599283,3.933416548,7.80666194,13.03971776,11.93076053,18.80270227,8.413332781,26.23250487,20.22398887,10.77053957,9.205644536,5.954284167,-8.975016578,4.61505321,-2.780346926,2.146928675
4.368591495,5.058604614,5.98149937,3.600184916,5.223386703,5.832992434,3.959910658,5.300200126,11.1349596,2.284815544,20.57344488,17.1659309,6.744269792,8.826176431,3.801893597,-5.077372103,8.568293815,-1.016565234,5.036709412
5.65759689,4.422583338,2.623202419,-1.606608629,2.089462422,0.00138498,-7.038246592,-3.40759469,1.884698001,-5.773049363,10.14044701,8.151004,-2.511820102,3.255563109,-2.089969324,-5.596190824,8.522215561,0.729786173,3.789701666
2.908026725,0.57108914,-1.078059837,-4.337790936,-2.313328642,-5.272395568,-12.36994031,-7.975435001,-1.796470008,-9.206695367,2.704051097,-0.417409524,-10.61754975,-2.676589037,-6.38839298,-8.517921615,6.578457464,4.042555711,1.190652035
-0.010200083,-1.927374797,-1.55311221,-1.954709071,-4.133191802,-6.495614007,-9.357801008,-5.627391882,2.951355502,-4.934651913,3.035268358,-2.794359099,-12.24488963,-4.202235398,-5.663026783,-10.11016173,6.252542498,8.979900015,0.779170518
0.146881019,-0.224259753,1.548185782,3.730402968,-2.125423353,-3.716656823,-1.703408388,0.969501776,12.36882997,4.050585667,9.669147697,1.748800008,-6.962395357,-0.450836326,-0.804131325,-8.317990369,9.01755959,13.51582646,3.695744132
3.301202927,4.523378767,5.386607739,8.149843955,1.591337778,0.012867549,4.190915918,6.205074804,19.08914743,11.09230523,16.83936617,8.820820939,0.95648391,5.183364935,4.288631435,-4.367137195,13.01852129,15.12159287,7.876251815
6.507885279,8.480683067,6.651246725,7.826582363,3.699776664,1.520838201,4.531039634,6.172555699,17.87480106,11.13930199,19.46846942,12.79765279,6.209361499,8.139866902,6.22138976,-1.428758244,14.8952973,13.00616095,10.02477332
6.831433266,8.611701843,4.417939701,3.056316508,2.656056869,0.097718357,0.625288888,1.55242271,9.445700289,4.509466841,16.91448191,11.27277256,6.413308764,6.438737112,4.659478475,-1.752840029,12.88142937,8.926136885,8.454170937
3.931401141,5.16528279,0.709848989,-2.663107711,-0.139298085,-2.320355842,-3.084848028,-3.42672604,-0.448104043,-3.754028109,12.66416407,6.485462053,3.258466332,1.974298261,1.940479036,-4.827657174,8.360127386,5.783613236,4.348768488
0.15078521,1.152201058,-1.517090917,-5.694968093,-1.825741284,-3.225330201,-3.249860734,-4.746561597,-5.641350749,-8.114502106,10.76412062,2.901117456,0.371470724,-1.460881659,0.513769865,-8.029980334,4.582936481,5.230877388,0.552934455
-1.747732986,-0.46469674,-1.016712334,-5.0837996,-0.732217554,-1.829295668,-0.275861746,-1.783413303,-4.016890788,-6.748569293,12.34278748,3.312492581,0.072498157,-1.474420858,0.764409088,-8.997337941,3.814273535,6.388686362,-0.859814827
-1.021256177,0.747734959,0.812294823,-2.863517057,2.189970361,0.433138238,2.623674768,2.582082381,1.541111525,-2.450607908,15.09182574,6.795420034,1.800588247,1.162068001,1.129806417,-7.556811273,5.476902783,6.787750907,-0.088855622
0.596115224,2.645782497,1.386677019,-1.893008284,4.313424169,1.442304966,2.715979359,4.667534648,5.99835617,0.106810994,15.75355352,9.972297276,3.221380002,3.587370924,0.109350697,-5.604134985,6.86864629,4.676404314,0.967235524
0.675531426,2.715553505,-0.643490463,-3.310102536,3.686595085,0.404326052,0.211971882,2.976565573,6.154167859,-1.819446199,13.10594803,10.12541421,2.643014396,3.55545677,-1.983768467,-5.215809558,5.696857607,0.652926322,0.631710533
-1.620401038,0.400856348,-4.196050121,-5.785878231,0.66785966,-1.517001421,-2.219057896,-0.988593511,2.56678541,-7.271525305,8.793142849,7.305536698,0.436959844,1.294464217,-3.292686558,-6.778534545,2.126416999,-2.795511666,-1.083076696
-4.816633373,-2.521570777,-6.757378309,-6.997684102,-2.518727924,-2.419545583,-2.186678231,-4.44473033,-1.705033721,-12.92164278,5.515191011,3.760966922,-1.664175051,-1.000644396,-2.41141507,-8.770030065,-1.427374325,-3.416441232,-2.686960882
-6.526494909,-3.714728723,-6.589468194,-5.79858629,-3.77710792,-1.498572388,0.107602945,-5.772386739,-3.989279236,-15.93611094,4.48098139,1.535502639,-2.472635727,-1.374246396,-0.074481566,-9.266969816,-2.476406348,-1.112843533,-2.744043899
-5.616363179,-2.470518057,-4.160706104,-3.125439808,-2.851005268,0.22736675,2.103508034,-5.513953765,-3.918449795,-15.82360349,4.524933438,0.636400612,-2.510403635,0.090972623,1.238097114,-7.734209324,-0.616383145,1.988437322,-1.237962272
-3.171775166,-0.313308726,-1.610778724,-0.992862058,-1.301476913,0.930326752,1.350329446,-5.297339129,-3.015198446,-14.00445886,3.588457711,-0.554893697,-3.329825971,1.476834183,-0.438548374,-5.487053859,2.21716269,3.336720269,0.446232078
-1.467448103,0.455876952,-0.838766726,-0.66756055,-0.917426168,-0.262776094,-2.131684774,-5.974393464,-2.769527544,-11.99458606,1.031989654,-3.174652332,-5.713596403,0.939639803,-4.508067008,-4.476038295,3.526913963,2.045471605,0.816699955
-1.95022568,-1.123173471,-1.959667083,-1.730823523,-2.087088961,-2.405189366,-5.768516491,-6.820836555,-3.195425645,-10.13785404,-1.482452807,-6.234927948,-8.562133228,-1.491207848,-8.002235983,-5.541895693,2.420883003,-0.498907418,-0.392640532
-4.059835598,-3.821348058,-3.43792034,-2.770872582,-3.579386987,-3.556068443,-6.678095259,-6.465962424,-3.123769992,-7.96255588,-1.418707448,-7.159669956,-9.635877096,-3.874606012,-8.033483302,-7.703103179,0.266664178,-1.945814869,-2.045231051
-5.870198105,-5.357069067,-3.654078685,-2.896300309,-3.824094826,-2.535289825,-4.197868716,-4.51605958,-1.724441604,-5.485679794,2.183219031,-4.13886444,-7.572995609,-4.091569084,-4.408599869,-9.06265926,-0.654309277,-1.004526604,-2.67377319
-5.870662371,-4.436314536,-2.417836702,-2.573208162,-2.424386986,-0.01473525,-0.4443676,-2.208879374,0.366120512,-3.874434868,7.494712136,1.833865648,-3.363994685,-1.769808359,-0.014498528,-8.477769669,0.788803807,1.552791717,-1.782481268
-4.241907376,-1.855936886,-1.079830714,-3.030557297,-0.49696706,2.030729007,1.544913725,-1.413150215,1.454384924,-4.6151527,11.10478459,7.217184109,0.131048184,1.325687303,1.516557167,-6.509383675,3.63318846,3.67554961,-0.221995583
-2.533208962,0.262026167,-1.21501798,-4.881173308,0.423046589,2.015492036,0.401789231,-2.894603066,0.356461256,-7.937477547,10.68425177,8.472255452,0.341822207,2.775216038,-1.076879203,-4.863667848,5.761824634,3.814649082,0.630011753
-2.140734113,0.34752831,-3.123788642,-7.335414727,-0.157461873,0.082743355,-2.511669091,-5.491397565,-2.365017092,-12.10720173,6.856034101,4.860101142,-2.941243409,1.551100462,-5.509836022,-4.881901917,5.798050509,2.128682775,0.085730772
-3.035364625,-1.323839751,-5.502497186,-8.788088817,-1.240484413,-2.059591839,-4.41029399,-7.02071116,-4.679154078,-14.47613507,2.699580157,-0.863626062,-7.317844704,-1.142263682,-7.816793927,-6.426007942,4.241601825,0.164727931,-1.321203074
-3.876981994,-3.008527479,-6.539795879,-8.235707259,-1.310402435,-2.616541411,-3.51461152,-6.14956516,-4.681821823,-13.53028011,1.336859629,-4.481826856,-9.570922679,-2.921081905,-5.71675625,-8.087210424,2.893098627,-0.556866867,-2.385774295
-3.331158339,-3.098130411,-5.425600507,-6.185553712,0.182711763,-1.182607387,-0.459576354,-3.568665103,-2.127066705,-10.15968805,3.629738405,-3.438566768,-8.04191677,-2.217741023,-0.589670198,-8.447723888,3.173343053,0.269085759,-2.282996162
-1.317378063,-1.452654667,-2.942938635,-4.186292753,2.212360705,1.032779711,2.446945381,-1.415077673,1.417761947,-6.965630646,7.826022654,1.452427902,-3.704268798,0.488098167,3.664389942,-7.235524548,4.886780623,1.759504482,-1.162943774
