Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-7.653988462,-17.06903563,-16.44840094,-9.145040922,-10.08673513,-15.23015543,-19.64329295,-12.1726407,2.586728213,-5.289445184,-6.659688927,-15.86700887,-8.275678683,-14.73857599,-18.34606648,-12.64718013,-14.02562468,-21.21329223,-17.49511923
1.658851583,-7.778064579,-12.60069636,-6.765465589,-1.003301188,-12.72916193,-23.26528793,-10.87752179,-3.489771024,-6.113646108,-12.81988706,-16.58929064,-7.763872488,-12.76772658,-15.10588364,-4.682551478,-6.800293122,-17.20333463,-12.47608397
7.766724805,1.091924557,-6.57054512,-2.179651215,6.796311708,-8.078868444,-18.58878497,-5.058274667,-2.611911276,-2.534022231,-13.18467423,-15.93261284,-5.572297666,-8.955875512,-10.97530783,2.005990763,0.065228833,-9.611515368,-6.593171256
7.426020723,4.759473786,-1.956147746,2.010407034,9.772929605,-3.725408721,-8.021437779,1.966200806,2.165071266,2.57106157,-9.492953267,-14.88071661,-3.045019376,-5.455865963,-7.864451189,4.508288311,3.17452393,-1.783427663,-2.368959217
2.026016056,2.680693521,-0.592466474,4.131745936,7.691588501,-1.301086608,2.93177502,6.614993071,6.714884635,6.146783763,-4.998211455,-14.07725227,-1.045630697,-3.331845496,-5.99176727,3.17969034,2.192029574,3.298685292,-0.810504364
-3.79009538,-1.716443799,-1.745485601,4.141254596,3.240495847,-0.939147587,9.030241138,7.072275088,8.328875157,6.631085398,-2.487149305,-13.70470878,0.289660785,-2.301176361,-4.563804604,0.763601982,-0.557048455,4.554897424,-1.259748357
-5.736551816,-4.075485826,-3.138671958,3.200459532,-0.224269021,-1.660391405,8.370506958,4.06072939,6.839572959,4.471949545,-2.95622192,-13.74820361,1.148901993,-1.514442424,-3.157092081,-0.077854073,-2.284129206,3.092308989,-2.272633731
-2.895871508,-2.396123688,-2.841735258,2.617125127,-0.996843129,-2.353585349,3.104080869,-0.008262725,3.934250614,1.386000066,-5.623090178,-14.27494892,1.489448754,-0.551565491,-2.424826181,1.218915616,-1.860416101,1.17100114,-2.73044426
2.058885275,1.899256172,-0.571283068,2.970755709,0.240506866,-2.544151107,-2.523232872,-2.781751235,1.49905881,-0.938282489,-8.940038248,-15.41865031,0.907937955,0.230955175,-3.490304541,3.038921161,-0.287143086,0.628744211,-2.399454128
5.328570276,5.624180577,2.415617049,3.948956176,1.531211479,-2.460914301,-5.224859527,-3.376389329,0.317091165,-1.783228215,-11.69309179,-17.10498887,-0.935128023,0.195413591,-6.652391465,3.264223331,0.583260992,1.823427233,-1.717236627
