Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
8.376834295,11.00354247,5.663329905,-2.678670473,2.541626801,-0.576442558,-12.05910603,-5.311059505,-5.414564858,-4.121826326,-2.595128418,6.083440781,1.291719695,4.777078429,11.8643308,9.972558283,6.215003436,5.351163062,-1.589051798
7.81213628,8.451167448,4.100598682,-1.498146089,6.631220407,-0.78969478,-10.20112492,-2.792587303,-5.499715182,-2.185407721,-9.413765881,-0.251279556,-4.462213679,0.785654196,7.119775134,5.13946755,1.771267977,2.337349386,-0.112934432
6.423557299,6.14772035,3.614412347,1.666137436,10.13587508,-0.329768697,-5.031289046,1.389419964,-3.254388082,1.3658928,-11.98963695,-2.897254656,-7.526501341,-1.273963876,3.275240788,0.870162964,-1.184409432,0.526150328,1.360576413
5.053681539,5.528674805,4.276724815,5.12264236,11.96378844,0.510139317,0.51227148,5.334617202,0.342887125,5.150195753,-10.267159,-2.363642435,-6.792635601,-0.95447527,1.2209094,-1.018174613,-1.635778633,0.427898634,2.836773951
4.292823196,6.785034714,5.38297637,7.044583226,11.70317701,1.179293017,3.543543416,7.130946516,3.374099378,7.437910173,-6.220931975,-0.562117072,-3.254514916,0.997029626,0.745209694,-0.392161549,-0.017151544,1.659747345,4.281153859
4.163240891,8.785954312,5.975272927,6.657829509,9.894346873,1.34026268,3.142259683,6.035748045,4.309279828,7.357871289,-2.256930365,0.787649167,0.794604793,3.27089019,0.867831764,1.273511668,2.195449818,3.207509716,5.516400566
4.2300444,9.970701404,5.494229772,4.595111526,7.71630054,1.125576539,0.669723089,2.836157228,2.954327399,5.403596862,0.165829708,1.156029995,3.208202234,4.823169906,0.565031421,2.200301081,3.56186999,4.137570229,6.283723651
4.024232336,9.530134452,4.120537909,2.258594851,6.278289359,0.974468263,-1.634201086,-0.819474601,0.359587892,2.903149856,0.795451522,0.963220555,3.071018387,5.328021456,-0.633209656,1.791422809,3.626182149,4.270618278,6.442748312
3.435453355,7.970892685,2.605001973,0.784463053,6.005719352,1.211422835,-2.510548567,-3.537963517,-2.099432831,0.975224723,-0.076442899,0.579899213,0.833119008,5.046736739,-2.514545832,1.088190917,3.053319238,4.299804124,6.140508209
2.777321904,6.645745439,1.74541944,0.425453755,6.538318822,1.747171743,-2.454247574,-4.888202586,-3.645576913,-0.138186404,-2.275498284,-0.344870524,-2.335663672,4.375959819,-4.474675218,1.819066047,2.914358854,5.220336974,5.777058782
2.501484123,6.652016948,1.890545748,0.727194402,7.163607879,2.165754425,-2.876419374,-5.270969475,-4.33313428,-0.882877869,-5.702834754,-2.544450798,-5.3186902,3.527336974,-5.907152709,4.824230966,3.740158747,7.471396491,5.749470352
2.813660648,7.988518673,2.793536545,1.187373926,7.407159066,2.114018645,-4.536909542,-5.248151495,-4.58014299,-1.655243775,-9.765965396,-6.116907767,-7.416501156,2.575249682,-6.410848515,9.170809166,5.111880499,10.45582585,6.149102163
3.506793131,9.629939511,3.867142462,1.741306251,7.317557082,1.638877245,-6.704249995,-5.012780128,-4.582450442,-2.276572951,-13.09409646,-9.866696041,-8.270502365,1.714343245,-5.786040024,12.72482733,6.08396228,12.85711067,6.655919253
