Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
60.42293547,65.39154229,43.18739883,32.07871482,48.66632634,40.16383081,6.685668255,27.43193547,44.91190066,41.99402472,47.79707581,58.74235435,48.08693403,54.81282645,46.7008166,57.92370291,64.4023842,33.62724315,44.61780186
58.63899106,59.76513209,32.56384296,15.05037294,39.02140186,28.23413507,-17.98051475,10.49725965,25.66131054,26.06251518,28.76749427,43.83907734,35.22324361,42.33817267,35.00598819,52.30958569,57.7180758,23.09536761,32.88597422
35.0534584,32.19948995,12.26420295,-6.496562277,16.2996227,7.809052711,-30.22612608,-6.641719862,3.472241491,3.896620375,5.010465675,15.32572317,12.00657564,15.51471056,11.02991017,27.85042908,30.09139903,5.746892924,10.76595806
3.805159572,-0.979388358,-6.290853255,-21.68763309,-6.281938313,-9.027883266,-24.27638755,-15.52935513,-11.79482762,-13.22822507,-12.33598326,-12.00615721,-8.964128433,-10.23865312,-11.63329929,-0.324808854,-1.471503648,-7.415175147,-8.597514872
-17.47591879,-21.55425811,-14.025568,-24.67123777,-17.01091429,-14.01088061,-6.897953952,-13.86661561,-15.57657265,-18.36549771,-17.1614976,-25.42619465,-17.86608968,-21.8751966,-21.75424762,-16.63871501,-19.3685245,-9.652073744,-15.36286854
-19.47931729,-21.45759878,-9.863065884,-17.81089449,-13.09948925,-7.744028982,8.269292939,-6.234763421,-10.76885464,-12.77836649,-11.72821785,-22.330136,-13.81031858,-17.0614177,-17.54711506,-15.32506509,-17.00267726,-2.561195565,-9.011058362
-6.357687899,-6.825125701,-0.296587674,-8.871188893,-1.273679117,1.967934422,11.01857909,0.125005419,-4.490441395,-3.783821173,-3.934723152,-10.67570314,-4.230999571,-4.322418636,-6.497642879,-2.888707081,-1.723498127,6.279339739,2.637917563
9.020799069,8.285736432,6.302861924,-4.759880738,8.300784674,6.712167308,1.506209392,0.901247103,-2.347639428,1.312827456,-0.999997992,-2.039190085,1.513597844,4.47645024,1.296653858,8.365555723,12.34129893,9.791632882,10.10044416
15.35189482,12.99059324,5.948042377,-6.772872401,9.652026735,3.631396405,-11.1547684,-2.661480426,-4.727948395,0.333253334,-4.508678656,-2.965934346,-0.881956401,3.098570789,0.730930314,10.08795301,15.35382333,6.684264845,9.167534193
10.57269774,6.794787109,1.146023078,-10.7221404,4.398969858,-3.394365241,-16.8458487,-5.770717829,-7.666390408,-3.287103274,-10.29477346,-11.09326602,-8.324099231,-5.434822197,-5.503231881,3.290915722,8.110681891,1.568013044,2.968657218
1.549615294,-2.015136764,-2.245705826,-11.26876918,-1.071538029,-7.854848914,-12.23503369,-4.630913024,-7.02706598,-4.399441822,-12.66207767,-18.37006381,-13.84055002,-12.67320449,-10.42897473,-4.154912442,-0.548869427,0.331685344,-1.781126517
-2.938720149,-4.47519516,-0.342547589,-6.584997782,-1.628979995,-6.19633531,-2.41239404,0.381390013,-2.257682471,-0.803578933,-9.199378564,-18.12056387,-12.61242468,-12.2172022,-9.097485915,-4.999871201,-2.16847046,4.962384028,-0.739971776
0.409889364,1.602429802,5.736410785,0.403698923,2.545377651,-0.328321877,4.244102812,5.359783941,3.313913037,5.165316935,-2.395670067,-10.12120749,-5.577230929,-4.60928225,-2.3921651,1.460841713,4.400690711,12.10013985,4.823945092
7.553656905,10.68649959,11.31654997,4.844469693,6.875328744,4.581092359,3.17106621,6.459778716,5.578322482,9.082698403,2.837892638,-0.032409845,1.924254923,3.911659197,4.403002338,9.599682282,12.93472689,16.21940105,9.758034084
11.55364755,15.09517775,12.43971736,4.142799851,6.917081361,4.706073979,-3.204180047,3.220312205,3.280151447,8.470054233,3.317036795,5.672394261,4.819695959,7.088169393,6.485487067,12.9267228,15.90241333,14.43925836,9.74822323
8.905544571,11.76539763,9.145866341,-0.074861906,2.308682935,0.552444138,-8.349024639,-1.146373469,-0.912384126,4.864771904,-0.089081121,4.741170581,2.208193034,3.676784136,3.462983259,9.708377419,11.0062882,8.820585497,4.860056577
2.251140066,4.443822483,5.106110767,-3.674178314,-3.153002833,-3.940624511,-7.561181554,-2.563208336,-2.68383797,2.287349699,-3.628659057,0.171133902,-2.526735714,-2.182962381,-0.832434431,3.997330183,2.704363703,4.383113724,-0.891439874
-2.451368304,-0.121722755,4.2106344,-3.692288453,-5.044907793,-5.034474227,-1.74054893,0.502471117,0.335355773,3.614226219,-4.026555829,-3.057759848,-5.026646342,-5.05100633,-2.069320957,1.617990296,-2.09714225,4.767303553,-3.195327232
-1.364447895,1.759524898,7.218061931,-0.764815173,-2.161217308,-2.260527694,3.916312304,5.864254908,6.651366936,8.043117316,-1.087570139,-2.33004242,-3.587943441,-2.864849606,0.805695185,4.951779931,-0.040390253,9.307893115,-0.984768068
4.066930816,7.755157531,11.28694902,1.642522174,2.640441898,1.576979199,4.70755961,9.502377784,12.11847993,11.74927231,2.488196916,0.873823832,-0.105731069,1.742717975,4.946871322,11.06983566,6.19740922,13.8557048,3.059856116
8.751453977,11.9264185,12.57698021,0.336876314,5.105386343,3.153922667,0.347536856,8.79477249,13.1291273,11.05721547,3.629098599,2.936519595,2.102351568,4.234485289,6.38739455,14.55112069,10.71965866,14.39605946,5.159557542
8.590679452,10.0566862,9.508422042,-4.913814157,3.252695953,1.531685033,-5.197361199,4.423288925,9.157376215,5.404967977,1.435043913,1.601723892,1.361233161,2.2824322,3.537282553,12.22290639,9.677768263,10.2540344,3.704114538
3.889567277,3.121442754,3.893049365,-11.31733592,-1.129924384,-1.272306117,-7.428625024,-0.432183098,2.780030102,-2.293132705,-2.355981646,-2.196647887,-1.144652171,-2.43379445,-1.668601053,5.631766914,4.296508307,4.278445765,0.3281581
-1.301342978,-3.921680406,-0.840609163,-15.47854449,-4.266769426,-2.318727686,-5.103452476,-2.71254907,-2.537649551,-8.005311384,-5.132439973,-5.577425796,-2.853347382,-6.060151501,-5.761047935,-0.675441752,-0.723748694,0.144094357,-1.889932609
-3.012011779,-6.618558138,-2.583300976,-16.10277797,-3.686478365,-0.401650837,-0.875589237,-1.671060099,-4.910794067,-9.57810123,-5.674077412,-6.58208192,-2.405461938,-6.105574884,-6.866239274,-3.229759595,-1.636579719,-0.681927609,-1.273958455
-0.763706286,-4.66539112,-2.04862226,-14.71302064,-0.117261026,3.019650497,1.434486719,1.003415814,-4.862854509,-7.955562334,-4.935264368,-5.901185065,-0.876662719,-3.451794327,-6.133321735,-2.359340621,1.181989792,0.278464082,1.120901125
2.387662038,-1.64126674,-1.684867355,-13.95794405,3.495659073,5.272683397,0.253186276,2.925121589,-4.198154246,-5.871771398,-4.822151951,-5.935781387,-0.601511633,-1.212198801,-6.323476841,-1.313790004,3.99383848,0.39844021,2.716316202
2.955392456,-1.38479408,-3.167401478,-15.15201487,4.74330863,4.854561027,-2.665424559,2.955596803,-4.204348997,-5.378752126,-6.226741827,-8.214139866,-2.77835392,-1.714507777,-9.019179455,-2.885111575,3.405922323,-1.438563714,1.87580674
0.283479699,-4.468078495,-5.80089603,-17.2110506,3.736552627,2.609225706,-4.192124296,1.781314472,-4.773814975,-6.352079885,-8.142217643,-11.67207782,-6.11936233,-4.440998964,-13.06050771,-6.750096909,-0.491420027,-3.894691908,-0.659578644
-2.977787602,-7.895562971,-7.213247896,-17.79389522,2.657585894,0.785642525,-2.786101817,0.908728578,-4.97012243,-7.05096439,-8.617165657,-13.44732487,-7.807914821,-6.703290772,-15.58299458,-9.893956829,-4.335449458,-4.622359162,-2.57603032
-3.468353161,-8.09367036,-5.619151158,-15.51443935,3.479618814,0.978649823,0.262816671,1.196541322,-4.227887591,-5.973121467,-6.631923929,-11.4895755,-5.919004029,-6.262739155,-14.6323105,-9.557097032,-4.676645956,-2.612457047,-2.172590598
