Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-9.430371948,-5.174535908,-1.629441716,-7.658801428,-7.192563071,-4.269427388,-1.075679912,-7.301700814,-25.21333233,-10.96573691,-21.58660851,-13.4608226,-11.33510273,-7.293259858,-10.37855646,-5.511525451,-4.33882654,6.346125367,1.163771053
-18.23363517,-13.43613525,-3.703591011,-6.90237952,-10.85642411,-7.123413056,7.008332245,-2.357786566,-4.998077884,-6.712885008,-8.44029393,-20.85098001,-11.78528004,-14.46808969,-8.883675224,-13.28335285,-14.38557419,4.892845174,-1.908249792
-17.63317522,-11.58281425,-0.173260972,-3.310898075,-8.785858188,-6.325158662,10.75743891,1.691074441,7.687075219,-1.653549878,0.560306778,-22.62625971,-9.064186019,-14.88966186,-0.431000025,-11.49943718,-14.14031122,6.946477942,-0.356522931
-8.06483258,-1.077304312,6.740524736,0.570788684,-2.137038732,-2.886428929,8.426396447,3.434868139,10.3502177,3.21301292,3.567990154,-18.15992663,-3.850650155,-9.168592345,9.783672708,-2.270921839,-5.271845013,9.879696371,4.198944942
4.336016194,11.14128811,12.80311413,2.257885193,4.952253999,0.557825176,2.082065319,2.884140961,5.82360155,7.044204608,1.924315585,-10.41509529,1.633277277,-1.636166721,15.58882577,7.663839698,4.999054838,10.37893836,8.046215017
12.12269569,17.55214514,14.69030166,1.146224364,8.354303036,1.799152792,-3.71457716,1.437437588,-0.07907452,9.506001242,-0.886186239,-3.576102637,5.283103622,2.988666712,13.97737385,11.78204496,9.294082705,6.930037258,8.196725863
11.65392842,15.15941119,12.11401498,-1.222593586,6.772545608,0.581749363,-5.054621765,0.811952364,-2.464493447,10.76325859,-1.556954632,-0.145542408,6.564234514,2.854328894,6.920520768,8.226086871,5.309340505,0.956017498,4.530013935
5.138458221,7.052474637,7.64055533,-2.606884263,2.325234907,-1.510318943,-1.33038828,1.766296397,-0.141231144,11.13560214,1.028047781,0.312180887,6.656498129,-0.222266582,-0.362808831,0.587179563,-3.016459022,-4.270582036,-0.322430679
-1.682438903,-0.490778761,4.515675456,-1.972904034,-1.375676163,-2.557563939,4.578158046,3.626991822,4.43437179,10.74734181,5.43600992,0.078222411,7.287735438,-2.733151642,-3.252871996,-5.315439082,-9.025577657,-6.073122425,-3.123074157
-4.116901241,-2.848344104,4.294553268,-0.276909193,-2.008040904,-1.879878101,8.643723266,4.974955288,7.639694348,9.509160518,9.095251931,1.020941171,9.282339985,-2.417858687,-0.781134678,-5.931469175,-8.560212696,-4.261529404,-2.426855008
-1.71328312,-0.055147636,6.066769728,0.480750602,-0.019232751,-0.420936555,8.691549376,4.892332501,7.522340658,7.453240697,10.3024286,3.11727056,11.9922859,0.200647116,4.243030615,-2.248730904,-2.776104469,-1.045981759,0.604091596
2.198089406,4.084733183,7.66334378,-0.925968311,2.176052412,0.246184153,5.763517108,3.716005409,4.913151098,5.078247165,9.305123495,4.826869711,13.97651283,2.690554404,7.816375012,1.661222917,3.384685915,0.844632525,3.422278937
3.814999947,5.621127846,7.646406665,-3.812375941,2.406754352,-0.661358881,2.930278366,2.677856362,2.265065039,3.295758854,7.764209069,4.743686588,14.26105459,2.983780653,7.811422803,2.28531505,5.46088671,0.259043741,4.181054522
