Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
6.668716865,-5.182298324,-25.08448422,-35.18807167,-19.23750309,-30.46320206,-62.67698209,-42.59698271,-48.22777417,-36.847928,-45.59001751,-26.01760519,-25.14309156,-22.70880743,-26.60837802,-13.72452019,-8.478206099,-33.61232209,-20.49392773
0.761981572,-10.38251041,-22.44860953,-30.11633605,-18.81686995,-27.74942497,-54.37991868,-36.1479844,-51.00458754,-31.48577315,-55.00302297,-38.40368344,-29.71704922,-23.58578138,-22.84998882,-16.76474614,-11.98988475,-30.82365833,-20.61090382
-5.271669168,-13.04199189,-14.28807145,-18.11732935,-13.62576316,-16.32502885,-31.15181542,-22.27649604,-43.69881774,-21.39688917,-51.24486375,-41.62279532,-25.73513577,-16.2144928,-14.78782901,-15.62658424,-10.72788837,-19.71914342,-13.70986627
-7.934923276,-11.55154507,-4.461582734,-4.812629098,-6.520164129,-2.48072552,-6.717717619,-8.884031254,-31.56867819,-11.70308917,-38.98077877,-36.11606382,-16.4624198,-4.729055563,-6.960392856,-10.67834812,-5.466555998,-6.668654836,-3.843474673
-6.327009892,-7.140119859,2.455300829,4.161739645,-1.237518918,6.731913506,6.379833326,-2.575334919,-21.22943225,-6.515310292,-26.42593647,-26.56473775,-7.351816145,4.561465947,-2.683119222,-4.624868935,0.463319647,1.579426002,3.614778249
-2.480202849,-2.864416385,4.057677697,6.498966875,0.034213193,8.005019189,4.743995967,-4.482799492,-16.30325414,-6.426536064,-19.5245195,-18.4060956,-2.445761108,7.317904724,-2.320293565,-0.708905234,3.499553121,2.180236686,5.463570932
0.453842994,-1.306894446,1.392431944,3.953767467,-2.068987927,3.378188786,-4.96047438,-10.18918614,-15.72403256,-8.688632232,-18.57888327,-14.47450564,-2.227505092,3.750586694,-3.836276697,-0.554510217,2.280542778,-2.480956683,2.449067269
0.624191858,-2.78827964,-2.18633842,0.264608818,-4.846800302,-1.971112067,-12.19444945,-13.52738183,-15.5656959,-9.693792159,-19.40655121,-14.02403576,-4.175969668,-2.107430313,-4.883565318,-3.230352591,-1.616191097,-7.166811215,-1.775410475
-1.378141612,-5.411660255,-3.596070529,-1.826057551,-5.676676067,-3.807937257,-10.64141645,-11.18321217,-12.56876495,-7.692058359,-17.52835242,-14.39521635,-5.216540552,-5.669724822,-4.661434422,-6.16242387,-5.082769347,-7.867564688,-3.512821368
-3.386475059,-6.759314773,-2.066495067,-2.098796197,-3.888412702,-1.632940189,-2.062761052,-4.654929386,-6.489592327,-3.694918628,-11.80704817,-13.62903575,-4.01894649,-5.030257723,-4.185430977,-7.121533047,-5.837517339,-4.467560231,-1.507749347
-3.623511174,-5.794921016,0.766582672,-2.025784235,-1.009894664,1.705639942,6.441826343,1.606006457,0.331751961,-0.116837482,-4.830166367,-11.88300967,-1.515116651,-1.820642323,-4.995001054,-5.749634478,-3.890048665,-0.189697723,2.641461546
-2.080867558,-3.477571696,2.540856967,-2.700187975,0.666360001,2.872096248,8.852399505,4.044720855,5.403854786,1.482213817,-0.202823009,-10.75210971,0.408994402,0.656180588,-7.535816459,-3.535596635,-1.111141746,1.404850069,6.142759296
-0.27298207,-1.732926513,2.135135934,-3.535975175,-0.032585176,0.847727082,4.892121056,2.661535699,8.237158706,1.623192107,0.6617605,-11.39172849,0.697639048,0.268357528,-10.57531286,-2.405266004,0.53245607,-0.70378729,7.235183283
0.246178961,-1.762866118,0.390811881,-2.850072004,-2.311966305,-2.520641751,-0.516792954,0.534278455,10.44863376,2.206413312,-0.432755287,-13.20892868,-0.117154924,-2.431434524,-12.06342202,-3.136468459,0.525392194,-4.456512287,6.261836268
-0.765770072,-3.121089484,-0.807664531,0.34886355,-4.176478536,-4.394327427,-1.944516065,0.916354882,13.96168532,4.655366753,-0.240852428,-14.23022614,-0.631633676,-5.031601414,-10.6765258,-4.844468317,-0.078994962,-6.6924859,4.973870333
-2.150557602,-4.24123963,-0.166271746,5.111139925,-4.093483472,-3.435511295,1.979832054,4.482499921,19.05359095,8.574674263,3.090968983,-12.74480577,0.064964686,-5.470798536,-6.809239871,-5.84517448,0.114665343,-5.810284358,4.869748061
-2.48866771,-3.863805068,2.042573036,9.035157893,-2.183410242,-0.793267055,7.843747033,8.937015437,23.98969888,12.03541535,8.571452058,-8.76659052,1.632807659,-3.67075079,-2.295051012,-5.096418496,1.472681245,-2.911535851,5.996173723
-1.392615845,-2.115691876,4.341755111,10.0864414,-0.035190126,1.097503012,10.76222644,11.09336291,26.48988562,13.16150309,13.36134656,-4.086359208,2.919027853,-1.317678095,0.856335053,-3.027969182,3.029112449,-0.652551492,7.084086834
0.171844609,-0.37668066,5.283296303,8.140751268,0.614442226,0.705478399,8.578776934,9.523397148,25.67450488,11.62469835,15.17068815,-0.913695859,3.087389118,-0.18349113,1.73143313,-1.152610178,3.441329461,-0.956310138,6.740230543
