Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-28.04736756,-34.70893115,-53.75475632,-54.60233537,-54.43853218,-42.87057054,-52.80378803,-54.43545767,-55.1238349,-51.03402731,-58.91299166,-52.06240387,-51.72242922,-46.68746195,-54.6881366,-50.15657677,-21.606996,-23.95422365,-46.04969096
-30.02622975,-36.67600613,-51.13575927,-55.76881426,-49.03810528,-36.4965058,-40.8013472,-45.42832357,-48.48945499,-45.53755873,-51.8752621,-45.19650033,-41.97905279,-42.01180027,-43.56326984,-42.13920737,-22.58099299,-29.01971046,-39.01462198
-21.41287694,-27.26601631,-32.71203064,-43.5843896,-28.88428608,-17.11441504,-17.0276367,-23.09905939,-25.3817597,-26.48327517,-29.36033971,-24.40469139,-19.18393283,-25.75079267,-21.44711194,-22.0403508,-13.90280095,-24.5018843,-19.55842274
-7.730498112,-11.56921428,-9.080826728,-28.84841288,-5.304506826,3.871898683,6.320926633,0.579303126,1.785420636,-4.505680517,-4.050573131,0.061105151,4.297295018,-6.822883745,0.663418132,0.473123728,0.18432066,-12.25899822,1.355857465
3.309324731,2.41595935,7.742888415,-17.46134478,9.862871331,15.65454152,18.73173584,14.31976577,19.31274883,9.318029952,11.57088197,16.58386945,17.19202333,5.400700443,13.25953028,15.62945854,12.42958287,1.441320005,13.38990455
7.068562074,8.915172404,11.93864754,-7.387591003,11.75673228,14.65007162,17.46732812,14.3521128,20.49731784,10.27223629,13.06806424,19.37368213,16.1902424,6.942206704,13.79776478,19.44280938,17.43318814,9.977349318,13.30190574
4.632141351,7.534203151,6.364492539,5.877650491,4.556247376,5.638321547,7.922297846,5.56103975,8.670932496,1.91192727,5.330453831,11.22943745,6.75814671,0.931440872,7.034049754,15.1183054,14.93875748,10.44899776,5.982676279
1.117855932,2.462623495,-1.217319171,21.72339639,-2.852623035,-2.866708359,-1.37751887,-3.303573042,-6.512204864,-7.723601828,-2.866603686,0.327518516,-2.081535415,-5.653905131,0.579499516,9.486341168,9.293540409,4.991047726,-0.190767514
1.265113479,-1.238672083,-4.580883518,32.70139422,-3.832055205,-5.09792822,-4.972366015,-6.260508781,-16.19992173,-12.23628098,-6.070026787,-6.069354813,-4.566402897,-7.402935855,-0.65296881,7.602701246,5.756987401,-1.352223068,0.21434247
5.845557218,-1.239711708,-3.00486512,30.66990576,1.770755692,-1.492167315,-3.328272803,-3.573300415,-17.56027707,-10.6918,-5.396910107,-6.152359992,-1.463637819,-3.921043901,2.875325532,9.626650877,6.624257115,-4.386192573,6.310303636
11.52580363,1.124848028,-0.200364117,15.02623635,8.8407061,2.977112744,-0.861861021,-0.005525802,-13.8695499,-6.803491825,-5.9039745,-3.382152353,2.087927587,0.920545765,6.912404542,11.89570019,10.03208614,-3.364640476,12.64838444
13.93946109,2.802575982,0.075581506,-5.038708283,11.9632897,3.602554294,-1.441857906,0.000621814,-10.42639359,-4.921006259,-11.10229162,-2.505830569,1.677967521,2.783852994,7.372085556,10.71472059,12.04182155,-0.772298215,14.13027298
11.26327741,1.844449332,-2.432109501,-16.99886009,9.778814325,-0.244181331,-5.246221663,-4.002442805,-10.1217211,-6.447047301,-19.59747937,-5.431416926,-2.760206131,0.401457237,3.361494992,5.505754444,10.04591771,0.123081798,9.938871561
5.443868861,-1.268924183,-4.688502482,-14.85098291,5.396720412,-5.123535055,-9.20571505,-8.688238291,-12.03373388,-9.379329205,-26.47296753,-10.1710374,-7.47283336,-3.837577685,-2.766840059,-1.076766772,4.719756211,-2.189317887,3.601384507
0.332255466,-4.593584173,-3.721766582,-3.711470384,3.103696543,-6.833051344,-10.07522121,-10.31646129,-13.43272906,-10.76053305,-27.71706147,-13.15684761,-8.520155358,-6.303955133,-7.790533159,-5.725160306,-0.847434819,-6.722605311,-0.359622534
-1.495449952,-6.767595871,0.18966847,5.005400929,4.568655769,-3.918306986,-7.184634389,-7.998906739,-12.78688513,-9.503220818,-23.54114582,-12.48335768,-5.095760732,-5.226199768,-10.13052412,-7.269240304,-3.851615072,-11.28251823,-0.117332716
-0.564963729,-8.179629975,3.429020919,3.63079134,7.771385294,1.48422134,-2.612946217,-4.110507684,-10.99087853,-7.143397815,-17.78353071,-9.249912925,0.185097839,-1.900181734,-10.54370638,-7.316203602,-3.955523912,-14.40653398,2.398158627
0.36164937,-10.31459585,2.083043344,-5.360441894,9.231327982,5.823908327,0.981711847,-1.826874307,-10.06341005,-6.18509791,-14.27157256,-6.18845164,3.854759132,0.720801594,-10.84877768,-8.434954439,-3.246582816,-16.27284005,3.595260105
-1.10929442,-14.05153738,-4.629226445,-12.20109509,7.253962915,7.156566242,2.655907515,-2.251381286,-10.94118581,-7.807115121,-13.63727102,-5.184147443,4.44848603,0.576028362,-12.13844922,-11.68877625,-4.218446745,-18.00356126,1.409684701
-4.940377594,-18.56777898,-13.53947011,-9.243165779,3.272691593,6.389164542,3.544097866,-3.716013245,-12.61548393,-11.01812503,-13.40680478,-6.01292859,3.164371624,-2.029356121,-14.05138281,-15.71447549,-7.601564511,-20.22441603,-3.116315596
-8.789549383,-21.84494152,-19.96707888,1.635742345,0.292820177,5.928471454,5.203414108,-3.687358258,-13.34374184,-13.80571107,-11.01460527,-7.202558187,2.092257653,-5.069405132,-15.46549948,-18.03744774,-11.82531734,-22.28210465,-6.954591718
-10.0537774,-22.27606652,-21.24653638,10.36602872,0.06979923,7.21987807,7.72461666,-1.333452267,-12.58570113,-14.98251048,-6.709054365,-7.858087288,1.991815607,-6.708599811,-15.67740265,-17.32620587,-14.40666243,-22.79794174,-7.693213517
-8.020740092,-19.92039987,-18.36857029,7.603128434,1.644826869,9.465702274,9.496006967,1.676375864,-11.63503636,-14.95604785,-3.532341921,-8.512176525,1.802028249,-6.685751367,-14.88951859,-14.5525538,-13.96710611,-20.98622988,-5.351681811
-4.380405543,-16.3486337,-14.53954294,-6.77626904,2.466214087,10.55635677,8.846721548,2.829874393,-12.2290552,-14.83927677,-4.381075737,-10.18895274,0.218597544,-6.080214758,-13.69426168,-12.08458891,-11.19169274,-17.50941045,-2.058929429
-1.816786457,-13.32351448,-12.16777548,-23.24035847,0.925339006,9.193052525,5.967916589,1.280264807,-14.44422792,-14.95142856,-8.940121316,-12.73483031,-2.38751851,-5.93197189,-12.27611358,-11.58381272,-8.067806292,-14.10288671,-0.143339449
-1.956760656,-11.54965562,-11.02342009,-30.62902688,-2.085835647,6.18286705,3.203124086,-1.173797757,-16.00029309,-14.29120229,-13.46834936,-14.26236932,-3.772702056,-6.154540219,-10.25641961,-12.58135168,-6.205448397,-12.30531192,-0.385043101
-4.330876232,-10.54143705,-9.089126414,-25.44876259,-4.004961495,3.749091504,3.277535984,-1.600253611,-13.8991784,-11.55502743,-13.83287518,-12.51685782,-1.732344449,-5.752316294,-7.357424187,-12.95369689,-5.698517223,-12.38082732,-1.784745142
-7.018056734,-9.547713819,-5.118817464,-14.15306735,-3.011023753,3.543998797,6.942693009,1.382750546,-7.166886297,-6.727736533,-9.18334415,-7.082353786,3.581245074,-4.03462376,-4.15376486,-10.84288478,-5.376450538,-13.29571255,-2.754014625
-8.245710582,-8.509028743,-0.408765807,-6.519495121,0.209992391,5.19045407,12.11784962,6.160154967,1.697215656,-1.662110207,-2.958470387,-0.378831827,9.173301386,-1.572356424,-2.022513107,-6.343498376,-4.052208132,-13.67185744,-2.486915973
-7.577145718,-8.085789671,1.938619879,-6.32912726,2.956434484,6.641435392,15.35995099,9.248004763,8.023371695,1.042980811,-0.18679503,3.685833728,11.2358054,0.081798987,-2.159608489,-1.526927144,-1.59610702,-12.83899728,-1.353125888
-5.857813754,-8.772641085,-0.330929673,-8.008189354,2.824228833,5.988931011,14.49035575,8.073870795,8.196872698,-0.010038235,-3.294739334,2.517109534,8.109093488,-0.302335637,-4.478018523,1.183124293,1.044985551,-11.11969506,-0.206984776
-4.211619157,-10.04391723,-6.399801005,-2.438953901,-0.211027349,3.090924506,10.205835,3.044507306,2.293343413,-3.916283941,-9.999943927,-3.153207076,1.667246875,-2.494771569,-7.424869262,0.898835877,2.76554561,-9.228018303,0.527347463
-3.080676912,-10.46693535,-12.60079133,13.31997743,-3.76328745,-0.388755292,5.36697397,-2.834223033,-5.996346138,-8.181138789,-15.13312829,-9.731716985,-4.106423149,-4.896227614,-9.003955448,-1.121997384,3.254079885,-7.438648602,1.100505651
-2.072466261,-8.785856862,-15.00126685,31.46795555,-5.047022781,-2.485384481,2.620014914,-6.400515187,-12.10466881,-10.64458835,-14.89367499,-13.38240645,-6.207352318,-5.816371054,-8.224078379,-2.565062451,3.153472966,-5.312706144,1.914385135
-0.556869169,-5.011586447,-12.2519267,38.71145078,-3.147710731,-2.598958725,2.369252432,-6.721697078,-13.81194608,-10.98391039,-9.982393189,-12.71969034,-4.806798933,-4.833849301,-5.777163115,-1.870029951,3.381872698,-2.191792228,2.908982246
