Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-31.02961828,-16.12276864,-7.137733992,-10.67428166,-16.46145863,-2.417549454,4.892882808,1.314641544,16.71859325,10.49320195,10.19945014,-21.11132553,-4.214904383,-23.08587644,-12.5960927,-16.70602305,-51.86496823,-47.87855061,-0.527084635
-18.76232741,-4.918454561,-0.668464582,-7.548447782,-10.45722362,-0.217489106,6.719053163,4.908972716,18.33634167,10.41123687,11.11038913,-17.45205485,-0.801886438,-16.53549754,-6.637049759,-7.705444872,-40.46690508,-32.0805558,3.577044598
-1.81678261,5.730634997,4.52556182,-5.038776737,-4.359239363,0.245712718,2.551711991,3.096601757,11.75707057,3.903027239,4.652455295,-13.88105798,-1.607659974,-9.65884134,-4.667257884,-0.461480948,-20.42777032,-10.35242167,5.999110615
11.62038072,11.10312372,6.437595302,-5.135762934,-1.219299043,-1.117439524,-5.354346506,-3.151144174,0.308853999,-5.812128917,-5.447948855,-11.86017264,-5.701768659,-5.640640992,-7.593513362,1.469892084,-3.077960398,5.900066264,5.680100406
16.26306325,9.626857858,5.074425833,-9.049549455,-1.855495307,-3.230054456,-12.86035698,-10.37720279,-10.44747043,-14.09752992,-13.85046163,-11.5814178,-10.47061315,-5.896938469,-13.35004017,-2.409466437,3.220762131,9.07775219,3.293706669
12.66641271,3.585309443,2.343414595,-15.67313246,-4.56044727,-4.695289312,-16.4980934,-14.84075898,-16.03356354,-17.61193506,-16.90450173,-12.12605255,-13.27885598,-9.319748549,-18.41407637,-9.659534437,-2.018918389,-0.130968029,0.628560001
5.968344275,-2.759655141,0.56867246,-21.74765299,-6.61332902,-4.827779574,-15.43705667,-14.86276074,-15.46249226,-16.04350578,-14.6164729,-12.48636074,-13.02917722,-13.1793061,-20.20803967,-16.79845169,-12.20893693,-13.98561313,-0.692773939
1.68453362,-6.162278321,0.716097862,-23.92640446,-6.368987251,-4.073691709,-11.60072009,-11.66853317,-11.23144618,-11.83285242,-10.03939926,-12.49700336,-10.57133216,-14.96213165,-18.61753324,-21.44702476,-19.10832926,-23.44820732,-0.208021083
1.869695623,-6.309110624,1.659865391,-21.26925851,-4.339719262,-3.534234261,-8.02523386,-8.219648899,-7.151586906,-8.269917465,-6.767229287,-12.8567828,-7.79060235,-13.82733132,-15.62610265,-23.2547357,-18.56010738,-24.11398247,1.32788341
4.379432966,-5.417828741,1.045888002,-16.16365396,-2.550602819,-4.024440521,-6.757650535,-7.006513734,-5.729118196,-7.389959614,-6.511442498,-14.2716991,-6.165625518,-10.75867544,-13.55173459,-23.279018,-12.45955667,-18.20403621,2.720027465
