Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
30.08496489,5.009761018,1.05801565,8.315101731,11.50617273,-5.416718738,-6.704950485,5.200924442,-15.05850625,-2.094341563,-28.88868857,-7.44175796,-8.510354188,6.012732613,-18.67518796,-11.00622884,22.53313033,21.9293665,-2.541342512
26.57685546,5.781786206,1.450685672,-0.736240332,7.565068887,-6.864290039,-8.43323539,1.23382046,-17.32966541,-6.548607333,-34.79800298,-9.948632264,-10.65214113,8.30991516,-20.60010017,-8.677998721,21.15049386,21.0644199,0.692815294
16.26888526,1.684675345,-0.169042604,-11.57428612,2.284995865,-5.540649966,-5.819241971,-1.118468833,-14.7465643,-7.353742974,-30.49812931,-7.738981603,-7.560316001,10.14241923,-17.44790592,-5.509719926,13.06356887,11.27284485,4.121682026
4.084626025,-4.925699318,-2.787726883,-20.66338959,-2.6722702,-2.915628515,-1.634664902,-2.124559865,-11.21983008,-7.330429941,-21.52380235,-2.974153501,-2.460079507,10.9124519,-10.85428737,-1.266615821,3.462373291,-0.238500237,6.233379836
-4.908873955,-10.94785506,-5.214217727,-25.02180371,-5.990541392,-0.919117037,0.668169444,-2.656719105,-10.20324138,-9.370489209,-14.88103439,0.873526854,0.484996364,10.29728678,-4.229157775,3.200289451,-2.497735462,-6.578705129,6.24656408
-8.25416658,-14.20142572,-6.733334763,-23.77695067,-7.231326187,-0.645107263,-0.596861225,-3.355648713,-12.28467725,-14.00293829,-14.3294739,1.465329814,-0.930035802,8.486828593,-0.876055012,6.113752134,-2.902674851,-5.488285392,4.723646696
-6.90590934,-14.2711808,-7.27125117,-18.31525825,-6.820574307,-1.76364611,-4.291358003,-4.080727827,-15.18120695,-18.96942545,-18.53973644,-1.087130353,-5.607664945,6.122773472,-2.210796196,5.796686861,0.203504737,-0.039881619,3.234855183
-3.836137569,-12.19763732,-7.090766513,-11.24101979,-5.597777859,-2.982024098,-7.481944564,-4.07818651,-15.89473885,-21.07320904,-23.00828846,-4.759127534,-10.19112227,3.969262486,-7.108256915,1.842555205,2.832776917,4.354288156,3.259672475
-1.728278742,-9.494125262,-6.424341305,-5.15456418,-4.301162545,-3.118448285,-7.6839189,-2.72272465,-13.17658538,-18.77429528,-23.81536399,-7.265193768,-11.54901086,2.548909674,-12.69263808,-4.426954324,2.10627274,4.075792346,5.120598474
-1.476575968,-7.293458375,-5.422561181,-2.004709626,-3.321488744,-1.948501533,-4.595132723,-0.213970931,-8.391422784,-13.47233877,-20.26019091,-7.42132614,-8.800499878,1.992352666,-16.02896578,-10.57245245,-1.89976192,-0.49214654,7.744460766
-2.331733628,-6.103379453,-4.403335082,-2.897916897,-2.777162802,-0.234272493,-0.089829262,2.376216962,-4.284525098,-8.517528026,-14.68979964,-5.356447283,-3.517461698,2.162856441,-15.69440444,-14.32533636,-6.647548091,-5.962637537,9.423507778
-3.166096845,-6.044046361,-4.023955509,-7.774367582,-2.697620255,0.985612899,3.3670588,3.803295584,-2.812718605,-6.781650866,-10.1825006,-1.827688854,1.763152412,2.894844264,-12.3568585,-14.72026552,-9.291936695,-8.916138258,8.993749241
-3.585581702,-7.093060676,-5.027243329,-14.82943665,-3.070079185,1.218897482,4.556180128,3.587835807,-3.787366316,-8.674626776,-8.218377169,2.456896743,5.365534002,4.120503831,-8.125594628,-12.38899648,-8.709138081,-8.34078155,6.559784697
-3.995903965,-9.024513499,-7.631135135,-20.43405723,-3.71075136,0.811673015,4.195619322,2.457661302,-5.254121941,-12.04143044,-8.067618084,6.909287865,7.258133783,5.799482911,-5.158994954,-8.928266984,-5.95177292,-5.820677681,3.288519733
-4.785506583,-11.175711,-11.05853536,-20.47592427,-4.157266475,0.546919599,4.094075229,1.905428681,-5.106261804,-13.87942167,-7.968477873,10.74499675,8.446197089,7.771664821,-4.402610868,-5.84699562,-3.046460514,-3.728030781,0.529747735
-5.561858914,-12.44742529,-13.71913859,-12.97693876,-3.81061104,0.948188802,5.576700485,3.133745389,-2.58431044,-12.50050174,-6.772642195,12.95094051,9.764664348,9.723877005,-5.18995863,-3.791143911,-1.296690655,-3.166570699,-1.002629714
-5.243233405,-11.76902306,-14.08180152,-0.308390664,-2.333705598,1.878032848,8.457242982,6.134718009,1.376119615,-8.591034434,-4.674067981,12.84849846,11.17410726,11.33118905,-5.880742022,-2.46194679,-0.457904411,-3.327134098,-1.401364666
-2.959877026,-8.797596842,-11.68206439,11.14221865,-0.029226713,2.721872334,11.2683655,9.577071316,4.953491267,-4.583210969,-2.706667477,10.78898547,12.01483249,12.43406051,-5.077438543,-1.139214264,0.709492513,-2.538849186,-1.10239813
1.051219372,-4.308388468,-7.508588719,14.52182948,2.158315553,2.94249058,12.42334195,11.60430796,6.592924482,-2.98645661,-1.783227231,8.17440631,11.75987724,13.05227121,-2.625461599,0.641475823,3.137177796,0.096837881,-0.322305405
5.389689096,0.111438922,-3.420938053,7.347657113,3.130506399,2.507233228,11.32696071,11.00319476,5.679476121,-4.90724784,-2.215118383,6.519772994,10.46123751,13.19559246,0.240784767,2.722427072,6.526986525,3.901383616,1.061556451
8.379446312,2.929836013,-0.978093334,-5.923536881,2.332865563,1.843829995,8.638827619,7.950815774,2.52230011,-9.625511942,-3.932350937,6.230470549,8.535845434,12.6684191,1.693723812,4.454130706,9.50824214,7.177277171,3.12323913
9.193392674,3.504552428,-0.522334506,-16.09801395,0.158861813,1.409643636,5.655414143,3.859005292,-1.996460814,-15.2494028,-6.854820224,6.222895397,6.265173016,11.13621666,0.536953366,5.167954082,10.65698737,8.490083196,5.436234006
8.311501622,2.297711791,-1.175063021,-15.36469259,-2.279500946,1.283263626,3.434647088,0.466321446,-6.712520041,-19.83134399,-10.81619791,4.91977057,3.649904751,8.511245282,-2.929104087,4.653402161,9.524130343,7.564375119,7.076882614
6.979488716,0.359711266,-1.693807761,-3.226143512,-3.89159915,1.139270282,2.340774988,-1.177031589,-10.36956739,-22.252433,-15.08652471,1.923236229,0.825986761,5.375505566,-6.9591794,3.345963676,6.907900165,5.186463041,7.179990599
6.164274227,-1.470955802,-1.477736777,12.30071482,-4.325611289,0.609720514,2.203916703,-1.162455829,-11.9193649,-22.51869103,-18.14663586,-1.102940203,-1.428471386,3.003452339,-9.30923784,2.125398978,4.249123196,2.408562942,5.607276617
