Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-24.95468853,-51.81903413,-64.49744819,-46.87390042,-62.55762068,-56.85762101,-55.2109115,-57.04474038,-65.50984441,-68.43429222,-71.10425962,-58.96459447,-62.48849364,-53.77186847,-60.56871526,-69.26692214,-29.19410624,-33.81928053,-58.04384493
-31.23212086,-50.89686324,-49.95162826,-19.50890444,-53.82312513,-48.71487848,-40.01194271,-45.18516712,-40.55842335,-51.6711216,-47.68945159,-50.67455826,-49.68830216,-50.89576951,-50.45926297,-62.54024483,-46.08370588,-50.60615881,-48.48210475
-17.60305554,-27.2901727,-12.14751542,17.80775555,-22.49508622,-20.50974084,-9.081751705,-14.2663365,-1.86188035,-17.18622158,-8.208392763,-21.44982038,-17.6375933,-26.45338358,-20.68102482,-28.17275918,-36.31406291,-40.45493843,-19.43091131
5.527170123,2.633636544,23.87024351,40.93822267,9.892716601,8.335474889,16.89733221,13.73762535,25.40270277,11.37753122,23.12671919,10.14924188,12.39130895,3.111717502,10.33525938,11.55184381,-8.610865587,-11.94092806,9.679598043
21.88116781,20.2175953,35.74032622,35.51504189,23.190526,20.4359127,22.78957226,20.93556543,26.57547515,17.26300543,30.30984335,25.74219168,22.91318191,19.87045856,25.68864762,32.81267034,16.90192458,14.66198145,21.62401586
21.70261632,17.85287421,19.63436617,6.433007587,12.87549853,12.39734413,9.094676235,5.800660194,6.691327516,1.491383607,15.62149913,19.85444224,12.08929795,17.23350804,21.33531464,26.85980913,24.4704263,23.11940303,13.14404319
8.214059978,2.975191691,-8.464545683,-26.6784338,-8.50171635,-4.658998918,-10.33419559,-17.4952136,-15.6770749,-20.19113435,-4.552916368,2.12321701,-7.001367469,3.127690969,6.862251934,4.362744212,13.56919069,12.42355856,-4.590598704
-6.294862162,-9.432247051,-26.13234687,-43.92913793,-22.70023702,-15.36156518,-20.13190605,-31.16431537,-23.84559132,-30.75383436,-13.61725721,-11.63463476,-17.97836633,-7.989424509,-3.67307659,-14.57732269,-2.939947855,-4.577395827,-16.13084028
-10.77326989,-9.037767584,-21.43441216,-38.38617865,-20.11147662,-12.23157198,-14.92439955,-27.19740354,-15.02693105,-24.54003633,-6.894387149,-11.67143079,-13.7600683,-7.014473247,-2.748459608,-15.9404241,-10.54253441,-12.73687491,-13.74102355
-3.516302505,2.712439076,-0.393576009,-18.67434167,-5.712127601,-0.155938167,-1.769084962,-11.83576244,-0.072167243,-9.617357534,6.951539948,-0.349854981,-0.412967531,3.643029899,6.338191167,-0.781481589,-4.445041635,-6.354410497,-1.886422821
7.958716044,15.44663333,19.76293636,-0.375667739,7.041141296,9.400831463,7.291890223,1.285568198,7.409389256,0.767903905,14.92735689,11.76578324,9.701693468,13.79296338,14.22762011,18.09703397,8.282880762,7.977717623,8.326111909
14.18997262,19.33857718,25.01466661,5.984801917,8.176380993,8.642840009,5.5593045,2.715869149,2.64944285,-0.378344822,10.81925576,15.43852175,8.821901578,14.95618257,14.25321535,27.5960058,16.33028619,18.52334039,9.116441674
11.56193838,12.98726262,14.768145,1.058169781,-1.200522477,-0.611456192,-3.647770596,-6.098629943,-7.427874056,-8.932737582,-0.608598262,9.764025451,-0.442501416,7.275719401,7.627015415,24.07165523,14.14067921,18.60256717,1.892535904
4.3020867,3.609848653,0.463402926,-6.617860966,-11.32088678,-9.627262819,-11.05414497,-15.65769249,-11.50773279,-14.54032287,-8.807171739,1.521402489,-8.532233431,-1.537764239,1.341397084,14.21459568,5.794501586,11.2644931,-5.236032875
-0.210208374,0.21696522,-5.025355546,-9.089418075,-13.0676402,-10.89974532,-9.916869142,-17.35298071,-4.257175077,-10.19265302,-6.731445963,-1.540554518,-7.744749951,-3.521549871,1.478223108,7.778670891,0.278631296,5.32637263,-5.238657072
