Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
7.734374158,12.3108325,24.23904038,16.51445524,15.21578187,8.298058173,7.319835223,18.9760027,6.645643052,18.79057445,-15.34606681,0.49833399,4.357118572,7.473059171,11.43504486,19.01740303,2.041891311,3.688270706,12.53136752
-0.558226444,7.698831446,13.29321507,15.25096344,1.344105635,0.612464794,-2.142684095,4.460511515,-3.176570231,1.921127089,-17.87585851,4.578748472,-1.396762145,0.977240721,5.049676113,10.09122097,1.555963761,3.698221345,5.372031395
-7.199195292,2.917198366,3.201438276,17.61917458,-9.644790617,-7.184016651,-9.654509585,-6.546686035,-8.140503069,-7.420656737,-16.37427648,4.694196086,-7.022429673,-7.311035792,-1.281368467,-2.462007703,-2.749011767,0.306965511,-2.1166562
-9.043082423,0.191183457,-1.343351235,17.79926779,-12.63418208,-9.823896516,-10.72380225,-9.170440967,-7.162400993,-8.455925131,-10.10687396,4.688387241,-7.995116547,-11.59975044,-2.855995621,-10.49652841,-6.310353388,-2.367241865,-5.681661672
-6.16208463,-0.207905457,0.036029424,10.74983894,-8.01589614,-6.240905264,-5.603517089,-4.170944389,-3.157293576,-5.099184846,-2.533075287,6.392479172,-3.912697831,-9.482474834,0.582130958,-10.14508314,-5.749593741,-1.186090356,-4.402317959
-1.792552567,0.260256857,3.555530536,-3.056629609,-1.084573184,0.108467614,1.144217509,2.789846345,-0.647214249,-2.864950029,1.693322004,8.918062139,1.752776741,-3.33493802,5.234831639,-3.783433621,-1.356044213,3.54172184,-0.770914064
0.109500943,-0.132959613,4.448696919,-17.50181344,2.089074808,4.256893626,4.176439255,5.372484737,-2.31414194,-4.977600887,0.413835681,10.13564684,4.715443437,1.907257518,6.642815326,2.471782115,3.436333872,8.414521306,1.650268762
-2.213108031,-1.984042203,0.60687618,-25.44778823,-0.944491445,3.522173644,1.244136201,1.063824063,-7.192072395,-10.47861245,-4.590495109,8.808600502,3.153110862,2.614882272,3.213014321,3.483411352,4.960102659,9.68617305,0.995025855
-7.181573166,-4.500361054,-6.09915913,-24.38215805,-7.64120422,-0.843007497,-5.455065956,-7.363654531,-11.8192574,-15.53826135,-9.342466647,5.612083485,-1.297661358,-1.085200746,-2.831480736,-1.534955551,2.184679087,6.15292115,-1.82545916
-11.31541986,-6.406939603,-11.63576079,-18.42014013,-12.9076244,-5.156932441,-11.25981665,-14.33162599,-13.26227475,-16.74728803,-10.95215989,2.408316543,-5.311529773,-5.974563003,-7.542654422,-9.15695951,-2.682045471,-0.043950872,-4.31306042
