Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
40.84731313,24.34338559,15.03283884,23.14653363,15.59423096,2.869916796,-3.965205148,3.149324946,-11.69296871,-12.28045832,-8.048662771,18.85083165,5.29206029,29.19101319,6.015979397,13.55320713,55.535843,65.33559243,1.330884091
23.88244255,12.33862465,-2.161564673,15.3539871,-5.350040734,-11.81657332,-21.17520181,-18.98866045,-36.63534835,-35.00973328,-33.23987114,-2.43439139,-16.8124248,9.208832568,-11.39826373,-4.144071461,34.13772361,49.23448915,-11.10111359
-0.300534507,-1.523691303,-15.81904851,-0.903237686,-21.49451077,-20.27701856,-26.89946883,-28.11784618,-41.42211185,-41.40497093,-37.79900675,-15.06576643,-27.72503511,-9.56193162,-19.20713423,-16.94029886,1.593423904,19.89573982,-17.59131236
-18.02111632,-9.130852088,-18.53146192,-18.79239973,-24.77386137,-18.25368476,-20.35188041,-22.48485255,-29.1628865,-32.0520061,-24.60740602,-13.47527057,-24.11645199,-17.29183419,-14.53511147,-17.93316203,-23.75644325,-5.200667424,-14.30850787
-21.33286232,-7.516550964,-10.89364236,-31.23508936,-15.8727819,-8.64631872,-8.20725314,-9.34612553,-12.20316174,-16.6754271,-6.124390191,-1.589746417,-11.66220363,-12.14808383,-2.821509916,-8.353432161,-30.06305249,-13.58058525,-4.449699434
-12.60959051,-0.31791833,-0.399606597,-34.59963617,-2.952076774,0.993492861,0.675806714,0.950066473,-2.98955035,-6.680139506,4.787910679,10.76906895,-0.252760271,-0.649336783,6.552020151,3.838892265,-19.10764727,-5.466559625,4.513374801
-1.43098609,5.715007155,4.734356949,-29.67480472,4.813497625,4.209490172,1.587738394,2.464190484,-5.736876628,-7.152331518,3.386375961,15.36421609,3.247858713,7.87596691,7.282472689,10.12256889,-3.257303442,8.232499498,6.649575834
3.304857174,6.167568018,1.828695036,-20.0363693,3.767110079,0.135814776,-3.369795281,-2.887375838,-14.8675927,-14.27292568,-5.139015497,11.11661185,-0.772180275,8.197155794,0.402181715,7.456415417,4.696968869,15.32298208,1.831012776
-0.262437078,2.040446501,-4.750155167,-9.559870735,-2.462145842,-6.561134929,-7.917259775,-8.093136506,-20.72377448,-19.60106731,-11.18512499,3.817281772,-6.25909436,2.238898954,-7.303250764,-0.307992647,0.655239027,11.40813438,-4.745128422
-6.743013387,-1.731660869,-7.693000579,-0.791675975,-6.81179951,-9.885268691,-7.005766036,-7.270477535,-17.54124557,-17.31393784,-8.70097675,0.766349932,-7.067367864,-3.568190888,-9.115066486,-6.27257892,-9.375544698,1.84792419,-7.075248762
-8.903091858,-0.768283807,-2.863226363,5.33285709,-4.754690794,-7.27377177,-0.593059417,-0.210263818,-7.416952427,-8.527541809,0.640162306,4.919420609,-1.835887112,-3.971566149,-3.625766253,-6.12550316,-15.69502716,-4.078420302,-3.081401903
-3.851705389,5.097517084,7.539932032,9.015971744,2.429158439,-1.184511964,6.928701889,8.092112148,2.303104777,0.377020815,9.757557361,13.07484362,5.510493874,1.12469286,4.646994064,-1.02347833,-13.22791861,-1.32822346,4.163725196
4.967782125,11.88397716,17.06005186,11.07048674,9.33153014,3.42063542,10.70494059,11.98900691,5.409635457,3.475988394,12.38577071,19.06836689,9.522845954,7.292122509,9.389372436,4.202346407,-4.982343911,7.196537965,9.369197888
11.12938251,14.92504581,20.2545981,12.48095194,11.18714242,3.299152531,9.270659864,9.751565266,1.517022399,0.063554881,7.883709615,18.93655294,7.793352533,9.765231984,7.682615192,5.525232777,1.508672146,13.91095745,9.396111225
10.66293671,12.66161328,16.70543195,13.85233237,7.606458042,-0.676707145,5.239156797,4.498885858,-4.475638977,-5.335645997,1.027245303,13.7683507,2.579683933,7.391972633,1.990145406,2.935234596,1.032238627,13.38440155,5.429209598
4.94890757,7.627633135,10.67515865,14.84717362,2.377967353,-4.684455697,2.650197228,1.130835222,-7.088404392,-7.282727441,-2.440475304,8.233779328,-1.51439562,3.145319158,-2.414128805,-0.131750346,-5.187003577,6.723230905,1.422107099
-1.037280231,4.016950819,7.087088842,14.18166517,-0.094959875,-5.36269013,3.515882368,2.180497779,-4.799797474,-4.11885513,-0.444491266,6.434481976,-1.516987417,1.138948027,-2.106867063,-0.287237557,-11.24208671,0.029496556,0.472355313
-3.211191216,4.081482408,7.445844623,10.60018104,1.526705529,-2.458178531,6.469540159,6.075289837,-0.702144527,0.914906475,4.325999992,8.699855429,1.680046986,2.988490633,1.747821069,2.633740006,-12.10878422,-1.285083889,2.336769874
