Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
11.45896372,17.07536505,27.30106953,39.48094996,32.53016267,27.70014294,33.61883766,34.28600082,45.31455002,37.86138685,44.16281834,28.35567397,33.34240398,28.51238643,33.18222648,32.61110464,15.8559632,10.48442795,21.86375074
11.56350087,14.15142403,18.1895898,20.35979344,22.92548679,16.62188549,17.98124357,16.11809152,22.57808394,12.75718288,30.46077452,25.20233709,25.58184826,29.87760846,25.51418166,27.08973733,25.10768237,17.10140989,12.36386049
1.591222604,2.117177746,0.311455958,-0.736939686,6.410634651,0.865690881,0.897934247,-4.076185617,0.957136289,-10.03845156,14.81128651,13.12701036,13.21006513,20.9053874,9.610739518,12.20967822,19.69965454,11.15620891,-2.600257074
-12.12177971,-11.45688543,-15.99687474,-11.91385036,-6.388572573,-10.34329445,-8.061674484,-15.16311939,-8.653603994,-19.74069214,6.698729396,0.948225925,4.325063171,8.664276438,-3.747812709,-1.295888133,4.638579958,-2.48584022,-13.88998294
-21.27917891,-18.5954971,-22.10283425,-9.035832534,-8.284063057,-11.50193324,-5.027626627,-12.34151142,-3.229931926,-14.35004373,9.842203459,-3.580209748,3.791670832,1.118065763,-6.822850211,-5.409005526,-9.355730489,-14.27313503,-15.81143838
-21.36868561,-16.3433682,-16.66563469,1.88609038,-0.17545317,-4.190132294,5.924490251,0.129161863,10.85807145,-1.030762155,19.96109333,0.839527478,10.14434955,1.607172309,-0.041708039,-0.141724692,-13.80098223,-17.12837745,-9.680204741
-14.35431076,-8.258884917,-5.676867627,10.04149344,10.42354721,4.822908969,16.2515891,12.65736804,22.93820069,9.825251117,28.29726426,8.788674503,17.33782794,7.176491644,9.238085972,7.508801087,-8.139438754,-11.23917591,-2.046192254
-6.55095513,-1.148470976,2.631338742,8.557387889,15.43955326,8.954980131,19.24467746,17.32381485,25.65032392,12.02480525,28.16073288,12.9648392,19.72269977,11.6865855,12.98851077,9.727722482,0.95241696,-2.991401256,0.73365456
-3.617909969,0.160731134,3.786875692,-0.376862342,12.02308669,6.402170153,14.32320007,12.83540813,19.35772596,6.974265652,19.56759542,10.06090509,16.20634399,10.91949761,8.645111003,4.086984965,5.563002998,0.672214785,-2.81617435
-6.625147096,-4.047832765,-0.537085325,-7.992296683,3.830696441,0.624484577,6.38820614,4.144014413,10.48124473,1.076304857,8.64840843,2.995412809,10.45552964,5.577752875,0.398885648,-4.986469825,2.744856456,-2.309241456,-8.868145679
-12.00429985,-9.45107394,-5.059918849,-6.773877793,-2.624657562,-3.153766277,1.314333878,-2.226670565,5.734985298,-0.119931968,2.609036058,-2.036744375,7.346880329,0.080875068,-4.925181407,-10.23612333,-3.926852979,-8.135680986,-12.073323
-14.98042784,-11.64505653,-5.722950776,2.977862354,-3.204388163,-2.252654362,1.489933701,-3.041333252,7.152090008,3.902111965,4.360376191,-0.950168359,8.849863692,-1.428689773,-3.635084316,-7.507512169,-8.174554856,-10.98797536,-10.16270785
-13.449603,-9.585304028,-2.702114767,13.3416643,1.208425436,1.801373133,4.813448242,0.241369037,11.59948376,9.142601471,10.91640946,4.988696861,12.7348886,1.62502356,2.200896551,1.218978778,-6.577365239,-8.136798666,-5.586812511
-9.243582511,-5.884283378,0.548980537,15.5086899,6.296384645,5.224538382,7.404953113,3.920932817,14.47793603,11.23006884,16.44755378,10.61744746,14.9247776,6.241777369,7.117676747,9.83128234,-1.150431578,-2.015764227,-3.090683716
-6.109843535,-4.127507644,0.883230036,7.328286326,8.258899172,5.483837967,7.271266401,5.656151943,13.96346277,9.310086202,17.16684451,11.53371467,13.23304635,8.754527351,7.217313897,13.10615329,2.90537769,2.214901772,-5.518816773
-6.420799034,-5.745298848,-1.700644376,-4.748011711,6.640013064,3.271717442,5.724782333,6.025387578,12.14144978,6.41880371,14.005191,7.839589894,9.23143207,7.926958437,3.369935321,10.51512764,1.964769047,1.241915154,-11.44226776
-9.424602845,-9.058966477,-4.345949533,-11.01291884,3.931836174,1.469057072,5.625771458,7.086847073,12.42881265,6.346643017,11.14108916,3.826389586,6.770608467,5.626211886,0.078413435,5.936681327,-2.984061116,-3.678184369,-16.46306518
-12.2865408,-11.0524318,-4.215256386,-6.656512161,2.783314422,2.310976961,8.352251463,9.733559401,15.95914849,9.988566861,11.98548711,4.040895612,8.587929134,4.762794501,1.263539828,3.937042989,-7.480205624,-8.020391745,-16.89835102
-12.74001696,-10.09949697,-1.201832176,4.163033689,3.535562484,5.387566577,12.34729204,12.50040623,20.31125417,14.42056534,16.20566638,9.250230717,13.96824294,6.556127041,6.762744223,5.969063662,-7.640300028,-7.975977992,-12.67147492
-10.95221302,-7.247709083,1.948681161,11.80114998,4.190284738,8.157967876,14.48502129,12.88765724,21.66503009,15.41983329,20.25019276,15.78903198,19.37262915,9.586150865,12.51618544,9.566414537,-3.45539675,-3.610055412,-7.107707684
-9.109871124,-5.097332991,2.109657733,9.252858534,2.573466617,8.333376639,12.9057771,9.837780322,18.34628552,11.15341407,20.71025783,18.76344057,21.3539553,11.32631034,14.11770139,10.86408268,1.446210432,1.409381315,-4.041710412
-9.302928073,-5.435303127,-1.443128337,-1.931641029,-1.449497234,5.895505977,8.718390557,4.97207844,12.53819077,3.845367198,17.44754924,16.26476387,19.2159965,10.6023659,10.55803095,8.025644332,3.148829678,3.077049305,-4.814145696
-11.67899994,-7.74528205,-6.391314111,-12.95272556,-5.719086504,2.988949446,5.075260001,1.405049883,8.633546969,-1.946227896,13.7391951,10.95536339,15.26304632,8.684246333,4.973752376,2.66047937,0.842889179,0.394224919,-7.600993061
-14.43446214,-9.798898965,-9.35940417,-15.20134569,-7.617433922,1.913096835,4.502547614,1.203068905,9.675932753,-2.923919762,13.35937666,7.726137721,12.64763897,8.057315965,1.899122899,-1.733792632,-2.667885303,-4.007087827,-9.370887749
-15.49523028,-9.667567509,-8.712869709,-7.545038869,-6.269846084,3.108537115,6.8686245,3.767519431,14.95188572,0.488054393,17.18050441,9.501959337,12.80805522,10.04762913,3.485217972,-2.716747686,-3.629600318,-6.304015754,-8.562723184
