Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-18.49323078,-16.64873257,-23.63135065,-30.63912238,-21.35164706,-19.46741849,-17.97694576,-21.45636954,-18.87389112,-26.22463696,-17.26253859,-17.33797496,-17.36121923,-16.79384549,-18.17891153,-20.56318246,-17.64109354,-11.47436017,-19.34355197
-29.75242073,-27.58903181,-31.11288667,-22.61621698,-26.60743382,-24.83518731,-20.19957581,-24.64912629,-21.38903128,-27.14865222,-19.15250619,-25.77591958,-21.08833622,-23.14757259,-24.14611423,-26.49927843,-31.88949385,-24.61299677,-26.67541987
-33.08905391,-30.79913268,-30.34200094,-11.07035992,-23.26362213,-23.66352648,-16.92132404,-20.84213493,-17.5510068,-21.46625962,-15.01091362,-25.99159962,-18.51107828,-22.94234602,-21.24634022,-23.5476219,-37.00269545,-28.9684306,-26.97152869
-28.79750247,-27.21390758,-24.27908795,-4.335181575,-14.87669721,-18.56071442,-11.98814755,-14.00583698,-13.20541078,-14.17444602,-11.19901063,-21.08558123,-13.8058686,-18.35712289,-13.59295725,-15.56548683,-32.41139302,-24.27663166,-21.57503358
-21.62946335,-21.6829852,-18.45690561,-7.116872892,-7.459711496,-14.04123697,-9.799253155,-9.517439089,-13.59951898,-10.8432949,-12.47355478,-17.01148663,-12.04445589,-14.1592538,-7.632498579,-9.368012311,-23.57073225,-16.1135093,-14.93212774
-17.31650287,-19.28518232,-17.08262507,-17.61940339,-5.35872766,-13.20267816,-12.19638142,-10.32480381,-19.38964353,-13.76569788,-18.59601684,-18.23691335,-15.55365825,-14.20472616,-7.816318594,-9.961833215,-17.7998869,-11.71550569,-11.5607186
-18.7266646,-21.91361364,-20.53841993,-29.20887775,-8.717951477,-15.76106113,-17.48632967,-15.21441537,-26.56269007,-20.85196692,-25.15810964,-24.82404672,-22.54816614,-18.78426218,-13.98590923,-17.21173922,-19.05680106,-14.82666386,-13.23103665
-24.37645791,-27.52184815,-25.88367892,-35.20257881,-14.18080676,-18.79050648,-22.12765779,-20.31788091,-30.07333367,-27.86424657,-27.64655183,-32.90116604,-28.84407218,-24.71537675,-22.09809669,-26.26629272,-25.53295464,-23.3474767,-18.23034699
-30.11797651,-32.23505031,-29.5853014,-33.28943222,-17.92869726,-19.35635656,-23.54193619,-22.39195529,-28.00032913,-31.87983827,-25.22806489,-37.85502821,-31.0922118,-27.92562173,-27.41572949,-31.2336667,-31.64260991,-31.32170937,-22.99090883
-32.44213525,-33.39244066,-30.1317298,-26.58000734,-18.50202593,-16.84249125,-21.79220972,-21.13492851,-22.79471023,-33.05800568,-21.18086728,-37.6275834,-28.97368683,-26.42349124,-27.64036309,-29.26566554,-32.57778129,-33.50339312,-24.69864748
