Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
-33.02749554,-28.31312371,-35.51236498,-41.51494241,-34.49712384,-18.34848032,-21.64224717,-28.38516335,-16.15270894,-19.51765784,-24.60898362,-34.98253218,-23.16459078,-28.37338193,-31.7422433,-37.49508628,-40.10017158,-34.6346943,-28.40514792
-29.34242024,-27.3095002,-33.70133893,-32.38232156,-28.89653548,-14.2491534,-17.13205783,-23.86933904,-1.132413369,-10.77411649,-6.732608632,-29.30942161,-15.78556772,-23.27387375,-26.02289349,-37.35496843,-35.30734382,-32.21804715,-21.78093093
-17.89968417,-19.39744447,-23.7903981,-18.67197409,-13.31557184,-5.050682198,-7.783027474,-12.75221942,18.9380568,1.899050013,16.07263525,-15.74549856,-3.81264924,-11.35558331,-12.71134436,-27.20823385,-21.71292162,-21.26721752,-8.730064388
-3.628462662,-8.241956833,-11.07860388,-4.81418826,4.211378543,3.929760446,1.544046407,-0.138237583,35.52631394,13.07648917,33.45297401,-1.476611197,7.303881749,1.052867436,0.731758829,-12.2042124,-5.776968354,-7.232261306,3.969295848
7.186752606,1.096558242,-1.602038422,5.90200698,15.04869943,8.085051305,6.595417717,8.563689603,42.40892015,18.528358,39.3220246,7.016349576,13.06703389,8.134154191,7.78623999,0.606550674,5.515805931,3.283626292,10.4780797
10.67477432,5.548458086,2.122606155,12.74477653,15.38957426,6.501168424,6.441897917,11.0053334,39.42958367,17.75025835,35.51434966,7.995841172,12.77608748,8.296658754,7.039557064,6.773505971,9.073251297,6.951347323,9.489349906
7.504257582,5.759540754,2.454082391,17.15383115,8.145162056,2.117737202,3.640630045,8.955888736,31.96272322,13.90715177,29.62921344,4.793738475,9.509294933,4.596863023,2.289501316,6.722205019,7.007308276,5.40771339,4.436766183
1.9644001,5.001151756,4.152407788,20.64522096,0.220012839,-0.83138399,1.941142674,6.481924107,26.81046645,11.34284058,28.99270067,2.588715004,7.462437216,1.83878157,-1.052639935,4.453409969,4.192217256,3.201704404,0.440780744
-1.22198876,6.31486735,10.17383257,22.65946518,-2.562546081,0.01411022,3.454172205,6.795627594,27.74353529,12.54714172,35.48171897,4.398170316,8.849925137,2.826886948,-0.116025113,4.016827296,4.269941824,3.92306675,0.501414911
-0.011156634,10.19976331,19.12107193,20.42738628,0.863879979,3.749722274,7.426753801,10.15828984,33.7757655,16.75767759,44.9554429,9.324138402,12.72555126,6.672784531,3.934668643,6.582667491,7.250073298,7.658097487,3.779616599
4.05833343,14.53324167,26.29836187,11.48622718,6.926575193,7.414199383,11.33266498,14.23142205,40.87704652,21.03217246,51.20850526,14.02499937,16.37331175,10.18805477,7.797243823,10.15795348,10.28963555,11.56251438,6.96137422
7.552576321,16.53739981,27.39697303,-2.905514429,10.73957518,8.566733684,13.14139517,16.31357565,45.25408797,22.74534845,50.9065545,15.79466671,17.84174086,10.87689687,9.246601681,11.7616942,10.59279528,12.69133511,7.259772757
7.894805864,15.04066313,21.81310642,-16.51291772,9.804312562,7.096418462,12.85443826,15.54742836,45.56901211,21.50394962,45.61005312,14.60216836,17.44783069,8.936084687,8.788151549,10.03472381,7.831037444,10.51930079,4.528432582
5.049205238,11.24681541,13.0438142,-20.89663961,5.351840261,4.97244249,12.20583313,13.41522496,42.84938015,19.11388145,39.76051426,12.63386236,17.15986014,6.755569129,8.568887414,6.193450658,4.183317254,7.127002705,0.964237069
1.05537811,7.597285357,6.032683914,-10.98049728,0.724295471,4.406102016,13.01377541,12.34044554,38.92065394,17.86795865,36.861292,12.09883346,18.63965047,6.62412611,9.901738028,2.802799844,2.259518619,5.175255186,-1.024557133
-1.89894974,5.858231654,3.699991157,10.44862545,-1.491879945,6.083584997,15.68430261,13.69935717,35.13218293,18.69817793,37.21627218,13.38776006,21.7630231,8.765524457,11.87467136,1.632963199,2.891594814,5.622962681,-0.804375727
-3.137680708,6.022076266,5.324748019,33.02582327,-1.174090139,8.853423721,19.04799118,16.86109055,32.33586414,20.67186134,38.7814533,15.10695921,24.84188964,11.34459622,12.32891885,2.435587956,4.672418254,7.157507313,0.264778032
-3.601135055,6.738778694,7.758293286,44.42801527,-0.082100428,10.89968666,21.46740135,19.88893881,31.52788426,22.06654282,39.78224022,15.70698703,26.18530454,12.25204428,10.19156196,3.507292529,5.44590502,7.647621053,0.343060387
-4.54305191,6.660730824,8.166508488,37.9226621,0.14224609,11.22779068,22.11942454,21.15852239,33.86709769,21.94007504,40.38524537,15.04139567,25.50287571,10.95994161,6.860701769,3.349500286,4.258420029,6.150957986,-1.134561885
-6.13518608,5.452307498,5.994811782,16.74940882,-0.51287315,10.20888143,21.37226679,20.51154704,39.59291955,20.81136141,41.95323897,14.39365546,23.922748,8.81318151,5.212164584,1.910244368,2.018820555,3.650652408,-3.012884363
-7.250380245,3.716820871,2.793941958,-7.75192582,-0.649656081,8.904489011,20.10639068,19.09557569,46.81914943,19.95836786,44.91123981,15.01469754,22.73289669,7.614470788,7.006041537,0.401349433,0.398776251,1.96163865,-3.564587096
-6.565590347,2.151015596,0.45253727,-23.04780329,0.973309731,7.973545994,18.7686876,18.19071761,51.74696163,20.08667161,47.60006634,16.61484957,22.10599954,7.885804889,11.00918215,-0.022841429,0.109917405,1.920720807,-2.112300094
-3.941581633,0.86054735,-0.417940281,-22.71718153,4.056748396,7.206667153,17.0767175,18.1038901,50.79747409,20.63213863,47.45971816,17.30250138,21.01552502,8.411001034,13.62098191,0.506271201,0.19283603,2.559481455,0.328217013
-0.811762951,-0.536561708,-0.616409163,-9.478520866,6.81803803,6.017599839,14.57376541,18.03290681,43.33869795,20.32899088,43.51168534,15.14502489,18.39758723,7.450068768,11.64236523,0.521761198,-1.034837175,2.001548564,1.896097783
0.803819065,-2.239744236,-1.158956894,7.540834621,7.416279802,4.284465881,11.39887668,16.91360456,32.75858337,18.49880854,37.69569972,10.03596677,14.44365419,4.49607673,4.939409945,-1.594849081,-4.256807375,-0.751433304,1.423379496
-0.147544616,-3.798174852,-2.070516195,18.85196984,5.482941702,2.646359023,8.455951864,14.45785915,24.63257146,15.85106818,33.5561098,4.207507639,10.78291361,0.968831425,-3.227462604,-6.157991729,-8.249077554,-4.758607225,-0.672150945
-2.910665491,-4.369948693,-2.328173288,19.74073856,2.451798775,1.943557744,6.771315921,11.50831527,23.00389458,14.0149767,33.24400963,0.831364881,9.320837863,-0.806540869,-8.521986863,-11.61440388,-10.64549754,-7.74702129,-2.830859532
-5.464496607,-3.480179461,-0.936691813,11.59983034,0.44451765,2.350765577,6.621751351,9.462380783,27.48309873,14.16036551,35.50775313,1.752601173,10.71495556,0.521462945,-8.638387919,-15.33064041,-9.765353044,-7.860988807,-3.64508504
