Channel 1 - P4,Channel 2 - O2,Channel 3 - P8,Channel 4 - T8,Channel 5 - C4,Channel 6 - Cz,Channel 7 - Fz,Channel 8 - F4,Channel 9 - Fp2,Channel 10 - F8,Channel 11 - Fp1,Channel 12 - F7,Channel 13 - F3,Channel 14 - C3,Channel 15 - T7,Channel 16 - P7,Channel 17 - P3,Channel 18 - O1,Channel 19 - Pz
32.70225624,22.08778113,29.98409729,8.092692494,29.89239133,29.73369177,20.7125676,28.04724072,22.0366198,23.647403,20.02108189,20.85381052,23.80504296,28.4336565,21.35910215,22.30971932,30.46444403,30.84107296,25.88256398
31.49534654,18.89879979,25.22026284,2.879654681,20.88548716,25.16175321,11.17821601,16.71157632,14.08248221,12.56801303,13.35973833,15.77232121,16.49478237,26.78576289,19.15684097,19.45244441,32.53563453,33.98830836,20.3173315
21.96413411,7.741996024,10.79009669,-1.342612521,4.819453304,13.37771568,-2.725080149,0.564400706,2.249483043,-2.742810366,2.683126057,3.063426959,3.163939694,15.69063615,8.481558102,7.875854002,20.38249149,23.74438394,7.383873962
9.839699931,-4.4965252,-4.749161817,-2.507733044,-9.232841421,1.330237097,-13.29144591,-11.60741289,-6.104289867,-13.54245364,-5.715009865,-9.991920656,-8.551300104,2.098119069,-3.18564628,-4.811495649,1.565519457,6.966919494,-5.445901398
1.703315058,-10.7697241,-12.68419975,-1.285644879,-14.03552133,-4.615700878,-15.30511146,-13.95860184,-6.589708483,-14.24762075,-7.203454333,-15.79115833,-12.41918408,-6.256943312,-8.415916652,-10.94888551,-12.95005601,-6.059297927,-11.423377
0.599976613,-8.616644075,-10.03662541,0.275103365,-8.883133137,-2.754934168,-9.484063159,-7.466262264,-0.517735372,-6.173580583,-2.055325452,-11.62318225,-7.775696771,-5.976089162,-5.08301189,-7.855581686,-16.12064249,-8.615866329,-8.820891422
4.516662842,-1.383485446,-1.086719478,1.362379595,0.529900619,3.426066801,-1.583290569,1.205688252,6.570637094,3.716047358,4.894244727,-1.444969495,0.402082593,0.28412713,2.686567236,0.881792637,-8.976133264,-1.642793954,-1.400284934
8.610433802,4.746531699,6.353613371,3.446403168,6.722262186,8.38155732,2.030285683,4.893811218,9.211208407,8.044535333,7.899086257,7.071297079,5.399801937,6.460958765,8.213805381,8.499352875,1.122701095,7.816331011,4.947640542
9.164253683,5.399700713,6.795057934,8.476311971,5.83922411,8.701371867,-1.110875819,1.127271483,5.784411537,4.226000844,4.453546223,7.957136186,3.566071931,7.773211146,7.391608505,9.951596746,6.364769809,12.24253429,6.555979906
6.093679694,0.759123274,0.550811589,15.88665302,-0.187426114,5.185597624,-8.312315791,-6.591889063,-0.955440444,-4.237442452,-3.180134351,0.804570669,-3.55540667,3.823480504,1.225961897,4.980243816,3.873960525,8.889974745,4.024695532
2.253579166,-5.394287676,-7.463334809,21.54187743,-6.020067016,1.503294319,-14.36908956,-12.14519492,-6.605910055,-11.08639543,-10.07401261,-9.604306309,-11.060288,-1.944608314,-5.792871656,-2.553938908,-3.213270265,0.893605819,0.76068375
0.50273057,-9.136632379,-12.11250325,20.18949724,-7.542128542,0.866726915,-15.76604304,-11.87063242,-8.638981375,-12.37208017,-12.54427182,-17.24121376,-14.68469948,-5.507744556,-9.649417234,-8.032665679,-9.170710298,-6.037777307,-0.342824046
1.199900864,-9.354157362,-11.84046599,9.719652035,-4.907765029,3.529835302,-13.06708042,-7.250853373,-7.912067554,-9.185939805,-10.7590244,-19.09431068,-13.71539133,-5.363662028,-9.658091987,-9.275776387,-10.39890285,-8.253406738,0.813153666
2.191848035,-7.959197641,-9.046318615,-6.417646002,-1.793010467,6.972251935,-9.837914483,-3.251165479,-7.241473373,-6.081196679,-8.133868506,-16.58928224,-10.75330162,-3.107591552,-8.127102695,-7.296005476,-7.665852648,-6.401769814,2.003685582
1.075967373,-7.603647129,-7.290438616,-20.96308536,-1.864334606,8.303277212,-9.322638683,-3.940102303,-8.551348518,-6.792885759,-8.225783646,-13.52448089,-8.967612719,-1.442620457,-7.632820899,-4.575751591,-4.537463113,-3.915830013,1.149802526
-2.410972433,-9.138245598,-8.093756434,-27.54900923,-5.629730703,6.690606111,-11.76791754,-9.117848009,-11.10969388,-10.95729386,-11.73825703,-12.6319897,-9.385467203,-1.653817887,-8.588843752,-2.74928214,-3.859082969,-3.542659444,-1.571875588
-6.006158022,-11.01145305,-10.03155197,-24.54928942,-10.23608093,3.825234724,-14.50512526,-14.64204245,-12.23646976,-14.50694905,-15.98399147,-13.6658483,-10.42365402,-2.739055881,-9.196171442,-1.686086365,-5.464334511,-5.067591837,-3.829678201
-6.822934614,-10.91631953,-10.51690722,-15.05550466,-12.1219041,2.238006428,-14.47618396,-15.97559631,-9.708247358,-13.24952714,-17.07286906,-14.30189255,-9.766069183,-2.712884823,-7.537382309,-0.42722528,-6.853101626,-5.99607216,-3.255698325
-3.833771629,-8.02715491,-8.315806633,-3.447965327,-10.06640479,3.071220175,-10.91510015,-11.87968195,-3.737803636,-6.521883939,-12.96471976,-12.66724535,-6.712587287,-0.674509866,-3.689343769,1.26952224,-5.86492405,-4.245878117,0.355804616
1.211892494,-3.797009561,-4.464240496,7.963665005,-6.037665002,5.21361213,-5.949813034,-5.235276406,3.087441802,2.128767116,-5.013512611,-9.115755356,-2.900544674,2.290239479,0.119639645,2.39984838,-2.771606765,-0.261007404,4.700995428
5.166258849,-0.700538565,-0.988327907,19.05956199,-3.29023691,6.405259911,-2.770652741,-0.50220721,7.732889962,7.715591779,3.016607055,-5.799182537,-0.868146968,4.103847813,1.386081547,1.691699806,0.028223086,3.316090065,6.746769583
5.923521229,-0.150234642,1.082834813,29.00703129,-3.524561689,5.226672715,-3.038004904,-0.100040719,8.836184854,7.664905171,7.498755409,-4.650852245,-1.826051438,3.581203465,-0.522978148,-0.918853191,0.265576103,3.993490688,5.105803668
3.872334396,-1.458474622,2.403230924,33.83708439,-5.585796372,2.242941607,-5.695938503,-2.722205912,7.344804804,3.605481041,7.0731255,-5.723969685,-4.601803196,1.468553881,-3.879215618,-3.820731996,-2.135366856,1.616336809,1.040519816
1.271604619,-2.682894691,4.106901544,27.91381259,-6.699614637,-0.575060048,-8.036133418,-4.801315118,5.36086335,-0.223353345,2.98279641,-7.333150434,-6.610904026,-0.251078332,-6.122872335,-4.8516933,-5.028866947,-1.544113438,-2.642735386
0.266504661,-2.488460836,6.04833683,9.028538759,-5.014947767,-1.524426365,-7.955157163,-3.672664041,4.354901526,-0.468340727,-2.234663337,-7.721288251,-5.949800593,-0.100448944,-5.984291742,-3.122083007,-5.991738535,-2.808806552,-3.786928449
1.315035131,-1.317269077,6.392805663,-17.17664476,-1.19182179,-0.465126248,-5.482246669,0.29805046,4.265630433,2.838390737,-6.423387967,-6.632629091,-2.828756663,1.668013327,-4.338947577,0.044512583,-4.432522181,-1.386793002,-2.345416352
3.252473078,-0.86401824,3.156933948,-38.21394652,2.261969841,1.277459662,-2.443418782,4.283245149,4.063934946,6.666955291,-8.645868635,-5.378004942,0.763986485,3.39646871,-3.168953189,1.939424211,-1.994272088,1.04596399,-0.045311098
4.678796815,-2.404585382,-3.640524188,-41.89330654,3.19284071,2.159396066,-0.763241414,5.552645625,3.053892659,7.699476874,-8.941853389,-5.440816972,2.739518793,3.524330123,-3.701293575,0.477397507,-0.966887315,1.912088105,1.257347018
5.241844147,-5.513563575,-11.28676153,-24.91571177,1.563693793,1.651729317,-0.95175606,3.726226607,1.653782541,5.001051966,-7.667247015,-6.999599738,2.456880791,1.909046312,-5.422479101,-4.189318766,-2.192374435,0.00909903,1.041636809
5.658102275,-8.299735036,-16.0017109,3.796092593,-0.689095433,0.454490689,-1.97502359,0.876997803,1.011687073,0.550057519,-5.166669196,-8.743554408,0.943469833,-0.144644399,-6.744887757,-9.708484776,-4.335946639,-3.476357064,0.247223373
6.617216265,-8.918152922,-15.66518021,28.24280887,-1.436924863,-0.329778483,-2.40645245,-0.403707282,1.913247846,-2.558297473,-1.929654274,-9.099144244,-0.189035804,-1.067889076,-6.55651222,-13.15403256,-5.125519575,-6.015729576,0.155032983
7.789190994,-7.030964652,-11.36956636,35.68406434,-0.13160524,-0.200430568,-1.70111067,0.827878206,4.025234097,-2.561720497,1.215767483,-7.674138977,-0.059837915,-0.315925221,-5.156384845,-12.96756485,-3.412497974,-5.859255397,1.143884245
8.000255125,-4.01020978,-6.474675638,24.6555984,1.93866011,0.454797497,-0.490789934,3.30093558,6.129937398,-0.153545917,3.323515971,-5.564147639,1.025991866,1.334114854,-3.771364002,-9.799023386,-0.225250531,-3.400689188,2.404202984
6.445762076,-1.817759272,-3.976150237,4.81803092,2.986417096,0.934933382,0.210812484,4.867268617,7.081025579,2.389493492,3.895941114,-4.265419604,2.176611724,2.613464286,-3.241004244,-5.783979609,2.076535726,-0.715809688,2.734752212
3.728401832,-1.598572605,-4.421533054,-10.88494959,2.341691036,1.014209564,0.036195503,4.406205501,6.6161892,3.079713133,3.267721605,-4.248817312,2.836310708,2.870694851,-3.215590237,-2.994772587,1.764669657,0.190831761,1.598230905
1.596043948,-3.137244292,-6.05848539,-15.40729951,0.897694087,1.171855383,-0.435295861,2.616234876,5.382352186,1.485280407,2.368612808,-4.556708223,3.15585087,2.464280992,-2.65391288,-2.287319546,-0.888101819,-1.128901343,-0.511525686
1.45992935,-5.447693894,-6.88779918,-11.11721355,0.086707782,2.083417992,-0.306732565,1.146639487,4.27892987,-1.428483353,1.990539378,-3.816644911,3.589244285,2.1943814,-1.103637095,-3.251376344,-3.957498014,-3.529775851,-2.61714791
